company_name,company_link,company_number,company_email,price
nechells pharmacy and masters pharmacy,www.nechellspharmacy.co.uk,+44 121 314 3142,info@nechellspharmacy.co.uk,155.0
oscartech uk,www.oscartech-uk.com,+44 20 3633 8413,testing@oscartech-uk.com,155.0
pennfields pharmacy,www.travel-vaccination.co.uk,+44 1902 341300,info@pennfieldspharmacy.co.uk,155.0
weston road pharmacy,www.travel-vaccination.co.uk,+44 1785 248888,info@westonroadpharmacy.co.uk,155.0
assured screening,www.assuredscreening.com,+44 800 135 7095,enquiries@assuredscreening.com,159.0
concepto clinic,conceptoclinic.co.uk,+44 20 3371 8814,support@conceptoclinic.co.uk,159.0
healthyaa clinic,healthyaa.co.uk,+44 116 467 0722,book@healthyaa.co.uk,159.0
iq doctor,www.iqdoctor.co.uk,+44 121 753 4928,help@iqdoctor.co.uk,159.0
optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk,159.0
10 harley linknurse clinic london,www.linknurse.co.uk,+44 20 3950 8134,10harley@linknurse.co.uk,160.0
biotherapy services,www.rapidcovidtesting.com,+44 20 7112 4964,info@rapidcovidtesting.org.uk,160.0
boots uk,www.boots.com,+44 345 121 2837,boots.customercare_team@boots.co.uk,160.0
citydoc medical,www.citydoc.org.uk,+44 20 3794 6697,support@citydoc.org.uk,160.0
expert medicals,www.expert-medicals.co.uk,+44 1274 905667,covid@expert-medicals.co.uk,160.0
rainbow labs,rainbowlabs.co.uk,+44 7442 795363,support@rainbowlabs.co.uk,160.0
rapid covid testing,www.rapidcovidtesting.org.uk,+44 20 7112 4964,info@rapidcovidtesting.org.uk,160.0
project screen by prenetics,www.projectscreen.co.uk,+44 300 303 2860,care@projectscreen.co.uk,164.0
258 postal racoo screening ltd,www.258postal.com,+44 800 254 5201,258postaltesting@racoo.co.uk,165.0
collinson,www.collinsongroup.com,+44 1444 444140,consumerhelp@collinsongroup.com,165.0
labmedexpert,labmedexpert.com,+44 7460 818350,day2andday8@labmedexpert.co.uk,165.0
t consultants,www.covidtestscentre.com,+44 7952 911145,covidtestscentre@gmail.com,165.0
the travel health clinic,thetravelhealthclinic.co.uk,+44 7851 848773,cv19clinic@gmail.com,165.0
001 covid test,www.001covidtest.co.uk,+44 330 133 4285,contact@001covidtest.co.uk,169.0
1010labs,www.1010labs.co.uk,+44 113 466 0065,covenquiries@1010labs.co.uk,169.0
anglia dna services,covidfit2fly.com,+44 1603 320777,ttp@angliadna.co.uk,169.0
covid clear clinic,www.covidclearclinic.com,+44 7511 441999,enquiries@covidclearclinic.com,169.0
covid smart limited,www.covidsmart.co.uk,+44 800 702 2145,hello@covidsmart.co.uk,169.0
fitnessgenes,coronavirus.fitnessgenes.com,+44 1869 255770,support@fitnessgenes.com,169.0
medwyn occupational health,medwynoh.co.uk,+44 1306 873942,covid19@medwynoh.co.uk,169.0
outcome diagnostics,tests.medicspot.co.uk,+44 20 3637 6873,contact@outcome-diagnostics.co.uk,169.0
quick clinics,www.quickclinics.co.uk,+44 20 8092 6507,bookings@quickclinics.co.uk,169.0
check my body health,checkmybodyhealth.co.uk,+44 1604 930250,covidteam@checkmybodyhealth.com,170.0
ctm (nhs t&t),quarantinehotelbookings.ctmportal.co.uk,+44 20 7429 9983,covid.testkit@travelctm.com,170.0
my private chemist,www.myprivatechemist.com,+44 20 3987 9202,info@myprivatechemist.com,170.0
myhealthchecked,myhealthchecked.com,+44 20 3365 2067,care@myhealthchecked.com,170.0
nl clinic,www.nlclinic.co.uk,+44 7882 750772,info@nlclinic.co.uk,170.0
pharmasuite,www.pharmasuite.co.uk,+44 7935 809834,info@pharmasuite.co.uk,170.0
your gp circle,yourgpcircle.co.uk,+44 333 800 5202,hello@yourgpcircle.co.uk,170.0
1 health hub,www.1healthhub.co.uk,+44 1604 930385,info@thehealthhub.com,175.0
biogroup laboratory,biogroup-laboratory.co.uk,+44 20 4542 7774,traveltestpackage@biogroup-laboratory.co.uk,175.0
chronomics,www.chronomics.com,+44 20 4519 7400,support@chronomics.com,175.0
consultant clinic,consultantclinic.org,+44 161 399 0402,info@consultantclinic.org,175.0
covitests,www.covitests.co.uk,+44 800 009 6401,day2and8@covitests.co.uk,175.0
dna workplace,www.dnaworkplace.com,+44 20 3943 5777,travel@dnaworkplace.com,175.0
doctorcall limited,doctorcall.co.uk,+44 344 257 0345,admin@doctorcall.co.uk,175.0
evolve medical,www.evolvemedical.co.uk,+44 113 873 0361,evolvecovid@outlook.com,175.0
heathrow medical services,www.heathrowmedical.com,+44 20 8528 2633,covidtests@heathrowmedical.com,175.0
london corona test centre,www.londoncoronatestcentre.com,+44 1895 671717,tests@londoncoronatestcentre.com,175.0
pct healthcare,www.peakpharmacy.co.uk,+44 115 951 2092,pharmacy.online@pcthealthcare.com,175.0
research consultancy and health ltd,rcandh.com,+44 7904 697060,covid19test@rcandh.com,175.0
roshni clinic,www.roshniclinic.com,+44 333 050 7138,info@roshniclinic.co.uk,175.0
your health first,your-health-first.webnode.co.uk,+44 845 163 0458,info@yourhealthfirstltd.com,175.0
brunswick hygiene,www.brunswickhygiene.com,+44 800 689 1481,info@brunswickhygiene.com,178.0
rapid pcr,www.rapidpcr.co.uk,+44 7907 028192,rapidpcrtest@hotmail.com,178.0
1010labs,www.1010labs.co.uk,+44 113 466 0065,covenquiries@1010labs.co.uk,179.0
midland health,midlandhealth.co.uk,+44 333 772 1999,hello@midlandhealth.co.uk,179.0
optipharm pharmacy,optipharmpharmacy.co.uk,+44 20 8908 1960,covid@optipharm.co.uk,179.0
the health clinic by ar,www.healthclinicbyar.co.uk,+44 1422 730022,covid@healthclinicbyar.co.uk,179.0
anglo belgravia,www.bg-london.com,+44 7724 201894,covid@bg-london.com,180.0
church pharmacy,thechurchpharmacy.com,+44 333 577 4575,clinic@thechurchpharmacy.com,180.0
confirm testing,www.confirmtesting.com,+44 20 3870 3623,info@confirmtesting.com,180.0
me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com,180.0
nomad travel,www.nomadtravel.co.uk,+44 1341 555061,orders@nomadtravel.co.uk,180.0
thechemistlive.co.uk,thechemistlive.com,+44 161 543 6622,admin@thechemistlive.co.uk,180.0
john bell & croyden,johnbellcroyden.co.uk,+44 20 7935 5555,pharmacy@johnbellcroyden.co.uk,185.0
mobihealth international,mobihealthconsultcovid19.mobihealthinternational.com,+44 333 224 6080,covid19@mobihealthinternational.com,185.0
rapiditydx,www.rapiditydx.com,+44 1602 262366,covidtesting@protein-technologies.com,185.0
synlab,humanmedicine.synlab.co.uk,+44 7341 088222,testtorelease@synlab.co.uk,185.0
advisa medica,www.covidtestingclinic.co.uk,+44 20 8953 9989,doctor@doctorjlevy.com,188.0
baseline medicine,www.baselinemedicine.co.uk,+44 7540 256296,info@baselinemedicine.co.uk,189.0
"cheltenham, worcester and west midlands travel clinics",raylanetravelclinics.co.uk,+44 330133412,covidtest@raylane.co.uk,189.0
collingwood health,collingwoodhealth.com,+44 1753 781654,testing@collingwoodhealth.com,189.0
expresstest by cignpost diagnostics,www.expresstest.co.uk,+44 20 3384 0000,info@expresstest.co.uk,189.0
i-gen testing,www.igentesting.co.uk,+44 333 577 1106,info@igentesting.co.uk,189.0
london medical laboratory,www.privatecoronavirustests.com,+44 20 7183 3718,info@londonmedicallaboratory.co.uk,189.0
mare st clinic,www.marestclinic.co.uk,+44 20 3488 7351,info@marestclinic.co.uk,189.0
medplus test,medplustest.uk,+44 7888 040407,booking@medplustest.uk,189.0
barkerhouse pharmacy,barkerhousepharmacy.co.uk,+44 1282 612140,barkerhouse.pharmacy@nhs.net,190.0
blackburn travel clinic,blackburntravelclinic.co.uk,+44 1254 54988,blackburntravelclinic@gmail.com,190.0
c19 testing,www.c19testing.co.uk,+44 20 3920 9012,support@c19testing.co.uk,190.0
chb medical,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com,190.0
ct24 solutions ltd,ct24.co.uk,+44 20 4533 8934,info@ct24.co.uk,190.0
flow living medi-care services,www.flowmedicareservices.co.uk,+44 20 8781 6935,covidappointments@flowmedicareservices.co.uk,190.0
minton treharne & davies laboratories,shop.minton.group,+44 29 2054 0000,c19support@minton.group,190.0
newcastle premier health,www.nph-group.co.uk,+44 191 605 3140,testing@nph-group.co.uk,190.0
tp healthcare services,www.tphealthcareservices.com,+44 20 4542 4558,enquiries@tphealthcareservices.com,190.0
trio pharmacy,www.triopharmacy.co.uk,+44 1932 225900,triopharmacy1@gmail.com,190.0
yakub chemist,www.yakubchemist.co.uk,+44 116 251 2959,info@yakubchemist.co.uk,190.0
covguard,www.covguard.com,+44 20 4513 4000,info@covguard.com,194.0
accendolab limited,www.accendolab.co.uk,+44 330 133 3612,info@accendolab.co.uk,195.0
blue horizon medicals,bluehorizonbloodtests.co.uk,+44 800 999 1110,covid@bluehorizonmedicals.co.uk,195.0
cov19 care,www.cov19care.co.uk,+44 330 555 0005,info@cov19care.co.uk,195.0
dears pharmacy & travel clinic,dearspharmacy.co.uk,+44 1383 723571,info@dearspharmacy.co.uk,195.0
dears pharmacy & travel clinic,dearspharmacy.co.uk,+44 1383 723571,info@dearspharmacy.co.uk,195.0
doctor driver assessment ltd,www.doctordriverassessment.com,+44 800 001 6784,sales@doctordriverassessment.com,195.0
fusion pharmacy,fusion-pharmacy.co.uk,+44 116 367 7280,info@fusion-pharmacy.co.uk,195.0
future health technologies,futurehealthbiobank.com,+44 115 907 8610,covidsales@fhbb.com,195.0
g16 covid testing,www.coronatest.co.uk,+44 20 3991 6494,info@coronatest.co.uk,195.0
just health,www.just-health.co.uk,+44 1282 936900,info@justhealth.co.uk,195.0
london screening street,londonscreeningcentre.cm,+44 20 7935 3626,asadrudin@yahoo.co.uk,195.0
north and north west london covid tests,www.covidtestslondon.com,+44 7809 164171,nanwlcovidtesting@gmail.com,195.0
north devon travel clinic,www.northdevontravelclinic.co.uk,+44 1272 373346,covidtest@northdevontravelclinic.co.uk,195.0
the medic clinic,medicclinic.co.uk,+44 1234 880079,info@medicclinic.co.uk,195.0
travel centre,www.travelcentreclapham.com,+44 20 7720 8701,covidtests@travelcentreclapham.com,195.0
uk event medics,www.ukeventmedicservices.co.uk,+44 1270 895177,info@ukeventmedics.net,195.0
fusion radiology,www.fusion-radiology.com,+44 1582 249216,info@fusion-radiology.com,196.0
20/30 labs,www.2030lab.com,+44 1604 265119,2and8@2030lab.com,198.0
3six health,3sixtesting.co.uk,+44 330 133 4208,support@3sixhealth.co.uk,198.0
ask chemist,askchemist.co.uk,+44 1205 352778,enquiries@askchemist.co.uk,198.0
avante health private gp,www.avantetestcentre.co.uk,+44 333 006 9610,support@avantehealth.co.uk,198.0
biograd diagnostic laboratories,www.biograd.co.uk,+44 151 482 9695,clinical@biograd.co.uk,198.0
elements medical,elements.org.uk,+44 1302 343432,covid-19travel@elements.org.uk,198.0
gpdq,www.gpdq.co.uk,+44 20 3805 1781,support@gpdq.co.uk,198.0
leeds covid testing,www.leedscovidtesting.com,+44 113 534 7252,contact@leedscovidtesting.com,198.0
physiofunction,www.physiofunction.co.uk,+44 1327 842321,testing@physiofunction.co.uk,198.0
qured,qured.com,+44 20 3966 6924,support@qured.com,198.0
rosalyn’s medical and wellbeing clinic,rosalynsmedical.com,+44 1924 654105,info@rosalynsmedical.com,198.0
04 medical testing,4medicaltesting.co.uk,+44 161 989 5333,info@4medicaltesting.co.uk,199.0
121 pure testing,puretesting.co.uk,+44 121 293 0414,hello@puretesting.co.uk,199.0
covid testing laboratories,www.covidtestinglaboratories.com,+44 333 242 0889,orders@covidtestinglaboratories.com,199.0
cryo express,www.cryoexpresshq.com,+44 1254 56770,info@cryoexpresshq.com,199.0
easy testing,www.easytests.co.uk,+44 7519 426288,easytestingltd@gmail.com,199.0
family medics,srfoundation.co.uk,+44 7483 172128,family.medics@srfoundation.co.uk,199.0
london covid testing,www.londoncovidtesting.com,+44 20 3488 8463,contact@londoncovidtesting.com,199.0
new street pharmacy,,+44 7940 916597,info@thetravelvaccineroom.co.uk,199.0
northend clinic,northendclinic.co.uk,+44 151 728 3155,enquiries@northendclinic.co.uk,199.0
reviv uk,reviv-pcr.co.uk,+44 161 209 3754,ukdiagnostics@revivme.com,199.0
summerfield healthcare,www.summerfieldhealthcare.co.uk,+44 333 900 0010,covidtesting@summerfieldhealthcare.co.uk,199.0
the guildhall practice,theguildhallpractice.co.uk,+44 121 441 2626,covidtest@theguildhallpractice.co.uk,199.0
the health suite,thehealthsuite.co.uk,+44 116 241 0010,info@thehealthsuite.co.uk,199.0
vivo clinic,vivoclinic.com,+44 333 305 8486,pcrtest@vivoteam.co.uk,199.0
world travel clinic,www.thepharmshop.com,+44 1753 847663,hello@worldtravelclinic.co.uk,199.0
ambutech pre-hospital care,ambutech.co.uk,+44 161 505 1959,covid@ambutech.co.uk,200.0
candarin medical,candarinmedical.com,+44 7906 873581,sophia@candarinuk.com,200.0
global health travel clinic,www.globalhealthtravelclinic.co.uk,+44 1932 943002,info@globalhealthtravelclinic.co.uk,200.0
good egg medical,goodeggmedical.co.uk,+44 20 8125 7003,swab@goodeggmedical.co.uk,200.0
home2lab,home2lab.co.uk,+44 20 7117 2458,info@home2lab.co.uk,200.0
pulmonics,pulmonics.co.uk,+44 7517 057681,contact@pulmonics.co.uk,200.0
pyramid pharmacy,pyramidpharmacywoolwich.co.uk,+44 20 8317 1176,farah@pyramidpharmacy.co.uk,200.0
ramss,www.ramss.co.uk,+44 345 200 2551,office@ramss.co.uk,200.0
the express clinic,www.theexpressclinic.com,+44 20 3893 2621,info@theexpressclinic.com,200.0
the montague clinic,montagueclinic.com,+44 20 3637 7999,expresscovidtests@montagueclinic.com,200.0
c & h esher ltd,www.centralpharmacyesher.com,+44 1372 46007,covidtestbookings@candhesher.com,205.0
better2know,www.better2know.co.uk,+44 20 7099 0955,info@better2know.com,209.0
your private health,yourprivatehealth.co.uk,+44 161 519 4448,info@yourprivatehealth.co.uk,209.0
12-14 pharmacy,www.theacornpharmacy.com,+44 7724 573336,1214pharmacyltd@gmail.com,210.0
af aesthetics (enoura medical),www.covidtesthub.co.uk,+44 20 7183 6465,info@covidtesthub.co.uk,210.0
avicenna health,www.avicenna-health.com,+44 20 8712 5565,covid@avicenna-health.com,210.0
centennial medical care,centennialmedical.co.uk,+44 20 3327 7777,info@centennialmedical.co.uk,210.0
clinicare uk,clinicare-uk.com,+44 7796 855535,info@clinicare-uk.com,210.0
concierge medical,conciergemedical.co.uk,+44 1451 600900,covid@conciergemedical.co.uk,210.0
easter pharmacy,www.myeasters.com,+44 20 3488 8900,customerservices@myeasters.com,210.0
global express travel health clinic,www.globalexpresstravelclinic.com,+44 7368 307175,infogethc@gmail.com,210.0
harley street nurses,www.harleystreetnurses.com,+44 20 7637 5511,covidtest@harleystreetnurses.com,210.0
harleys pharmacy,www.nhs.uk,+44 20 7589 8788,harleys.pharmacy1@nhs.net,210.0
linbury doctors,www.linburydoctors.co.uk,+44 333 050 7338,covid@linburydoctors.co.uk,210.0
local pcr,www.localpcr.com,+44 121 827 2723,info@localpcr.com,210.0
london elite health,covid.londonelitehealth.com,+44 20 7486 0701,info@londonelitehealth.com,210.0
longridge travel health clinic,www.longridgetravelhealthclinic.com,+44 1772 439054,info@longridgetravelhealthclinic.com,210.0
lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net,210.0
lord's pharmacy,www.lordspharmacy.net,+44 20 7586 9668,info@lordspharmacy.net,210.0
myhealthcare clinic,myhealthcareclinic.com,+44 20 7129 8639,coronatesting@myhealthcareclinic.com,210.0
olive health & travel clinic,www.olivehealthandtravel.co.uk,+44 20 8550 2276,contact@olivehealthandtravel.co.uk,210.0
pexpo diagnostics,londontesting.co.uk,+44 20 3575 1209,day2day8@pexpo.co.uk,210.0
private gp clinic,www.privategpclinic.co.uk,+44 1932 344004,covidtest@surreyberkshire.co.uk,210.0
rightangled,www.rightangled.co,+44 20 3950 3394,info@rightangled.co,210.0
tuli health,tuli.health,+44 20 8067 6074,info@tuli.health,210.0
vanite clinic,www.vaniteclinic.com,+44 121 687 0025,info@vaniteclinic.com,210.0
wren healthcare,wrenhealthcare.co.uk,+44 20 3974 6950,results@wrenhealthcare.co.uk,210.0
wren healthcare,wrenhealthcare.co.uk,+44 20 3974 6950,results@wrenhealthcare.co.uk,210.0
xana medtec,www.xanamedtec.com,+44 161 974 6518,info@xanamedtec.com,210.0
zen healthcare,www.zenhealthcare.co.uk,+44 20 7225 1660,testing@zenhealthcare.co.uk,210.0
zoomdoc,zoomdoc.com,+44 20 7993 2292,info@zoomdoc.com,210.0
goodbody clinic,www.goodbodyclinic.com,+44 1225 444144,clinic@goodbodywellness.co.uk,215.0
doctors clinic group,www.londondoctorsclinic.co.uk,+44 20 3993 4657,info@londondoctorsclinic.co.uk,219.0
medicspot,www.medicspot.co.uk,+44 20 3637 8398,tests@medicspot.co.uk,219.0
1 nhl pharmacy,www.getavaccine.co.uk,+44 7393 845321,esales@nhlpharmacy.co.uk,220.0
advisa medica,www.covidtestingclinic.co.uk,+44 20 8953 9989,info@covidtestingclinic.co.uk,220.0
first medical consultants,www.firstmc.co.uk,+44 1782 213214,info@firstmc.co.uk,220.0
hampshire travel clinic,hampshiretravelclinic.co.uk,+44 1243 958686,info@hampshiretravelclinic.co.uk,220.0
"hampstead heath pharmacy, travel health & vaccination clinic",hhpharmacy.co.uk,+44 20 7435 7075,info@hhpharmacy.co.uk,220.0
healthwork,healthworkltd.com,+44 161 831 9701,testing@healthworkltd.com,220.0
ingleton pharmacy,www.ingletonpharmacy.com,+44 15242 41154,ingleton.pharmacy@nhs.net,220.0
southdowns private healthcare,www.southdownsprivatehealthcare.co.uk,+44 330 220 2000,info@southdownsprivatehealthcare.co.uk,220.0
the regenerative clinic,www.theregenerativeclinic.co.uk,+44 330 223 3332,diagnostics@theregenerativeclinic.co.uk,220.0
top health clinic,tophealthclinic.co.uk,+44 20 8123 4510,info@tophealthclinic.co.uk,220.0
well pharmacy (bestway national chemists),shop.well.co.uk,+44 1782 597313,hello@well.co.uk,220.0
corporate covid tests,www.1corporatecovidtests.com,+44 20 3950 3394,info@1corporatecovidtests.com,225.0
kings medical centre,kingsmedicalcentre.london,+44 20 7723 7258,info@kingsmedicalcentre.london,225.0
medinow,medinow.co.uk,+44 20 3488 6537,info@medinow.co.uk,225.0
doctap,doctap.co.uk,+44 20 7183 3254,covid19@doctap.co.uk,228.0
corona test centre,www.coronatestcentre.com,+44 20 3983 7869,hello@coronatestcentre.com,229.0
mildcare ltd,lincolnpharmacy.co.uk,+44 20 7538 0817,covid.mildcare@gmail.com,229.0
bansals pharmacy,www.bansalspharmacy.co.uk,+44 1702 587500,pharmacy.bansal@nhs.net,230.0
black and banton,www.blackandbanton.co.uk,+44 191 487 1040,covidteam@blackandbanton.co.uk,230.0
"dr wayne cottrell, private gp canary wharf",www.drwaynecottrell.com,+44 20 3197 9100,contact@drwaynecottrell.com,230.0
east midlands laser and cosmetic clinic ltd,emlcc.as.me,+44 7425 629538,eastmidlandslaser@btconnect.com,230.0
leigh broadway pharmacy (elm road),www.bansalspharmacy.co.uk,+44 1702 474414,leighpharmacy.elm@gmail.com,230.0
london nutrition doctor,access.londonnutritiondoctor.com,+44 7533 660637,pa@londonnutritiondoctor.com,230.0
mayfair doctors,www.mayfairdoctors.com,+44 20 7499 1581,covidtest@mayfairdoctors.com,230.0
shantys pharmacy,shantyspharmacy.com,+44 20 7247 2140,info@shantyspharmacy.com,230.0
south west london covid-19 centre,www.swltest.com,+44 7930 192187,info@swltest.com,230.0
the walcote practice,thewalcotepractice.co.uk,+44 1962 828715,info@thewalcotepractice.co.uk,230.0
travel klinix,travelklinix.com,+44 24 7601 6519,info@travelklinix.com,230.0
agilis health,agilishealth.co.uk,+44 1592 269570,help@agilishealth.co.uk,234.0
100 covid clear,100covidclear.co.uk,+44 330 133 3899,help@100covidclear.co.uk,239.0
caxton pharmacy,www.caxtonpharmacy.com,+44 20 8460 0377,info@caxtonpharmacy.com,240.0
medic testing,www.medictesting.com,+44 20 3936 4356,info@medictesting.com,245.0
sloane street testing,www.sloanestreettesting.co.uk,+44 20 3879 0019,testingcentre@sloanestreetsurgery.co.uk,245.0
coyne medical,coynemedical.com,+44 20 7731 3077,contact@coynemedical.com,249.0
mayfield clinic,www.mayfieldclinic.co.uk,+44 1865 423425,info@mayfieldclinic.co.uk,249.0
tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk,249.0
tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk,249.0
tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk,249.0
tower bridge wellness pharmacy,www.thewellnesspharmacy.co.uk,+44 20 3771 9927,contact@thewellnesspharmacy.co.uk,249.0
calder pharmacy & medspa clinic,www.medspa.co.uk,+44 20 7034 0156,info@medspa.co.uk,250.0
ghosh medical group,www.ghoshmedicalgroup.com,+44 333 200 3338,info@ghoshmedicalgroup.com,250.0
heart lung centre,heartlungcentre.com,+44 20 7034 3301,enquiries@heartlungcentre.com,250.0
moore medical practice,www.mooremedicalpractice.co.uk,+44 20 7349 1490,info@mooremedicalpractice.co.uk,250.0
one5 health,www.one5.health,+44 20 3488 4415,care@one5.health,250.0
pcr labs,pcrlabs.co.uk,+44 20 3105 0545,info@pcrlabs.co.uk,250.0
private gp teddington,www.privategp.org,+44 20 3303 0326,covidtest@privategp.org,250.0
remedi health,remedihealth.co,+44 1962 396695,support@remedihealth.co,250.0
skc occupational health,suchantry.com,+44 1235 606080,su@skcoccupationalhealth.org,250.0
the pharmacy at mayfair and clinic,www.pharmacymayfair.co.uk,+44 7958 499522,pharmacyatmayfair@gmail.com,250.0
vitox,vitox.co.uk,+44 20 7268 4915,info@vitox.co.uk,250.0
winchester gp,winchestergp.com,+44 1962 776010,reception@winchestergp.com,250.0
winchester gp,winchestergp.com,+44 1962 776010,reception@winchestergp.com,250.0
the london general practice,www.thelondongeneralpractice.com,+44 20 7935 1000,info@thelondongeneralpractice.com,260.0
westwood pharmacy,www.vaccinesfortravels.co.uk,+44 161 213 0394,shelemur.rahman@nhs.net,269.0
courtfield private practice,www.courtfieldpp.co.uk,+44 20 7373 3541,covidtesting@courtfieldpp.co.uk,270.0
29 fleet street ltd,fleetstreetclinic.com,+44 20 8175 8891,testandrelease@fleetstreetclinic.com,275.0
dr tim lebens,www.drlebens.com,+44 20 7483 5148,info@drlebens.com,290.0
msi clinics,www.msiclinics.com,+44 20 4522 9103,info@msiclinics.com,290.0
samedaydoctor,questionnaire.heydoc.co.uk,+44 20 7531 7120,canarywharf@samedaydoctor.co.uk,290.0
samedaydoctor city clinic,www.samedaydoctor.org,+44 20 3871 6015,city@samedaydoctor.co.uk,290.0
samedaydoctor manchester,questionnaire.heydoc.co.uk,+44 161 827 7868,manchester@samedaydoctor.co.uk,290.0
cosmebeaute,,+44 20 7935 1127,info@cosmebeaute.co.uk,298.0
medic 1 direct,www.medic1.co.uk,+44 845 004 4999,covid19@medic1.co.uk,298.0
knightsbridge pharmacy,www.knightsbridge-pharmacy.com,+44 20 3581 3383,hello@knightsbridge-pharmacy.com,300.0
knightsbridge pharmacy,www.knightsbridge-pharmacy.com,+44 20 3581 3383,hello@knightsbridge-pharmacy.com,300.0
knightsbridge pharmacy,www.knightsbridge-pharmacy.com,+44 20 3581 3383,hello@knightsbridge-pharmacy.com,300.0
knightsbridge pharmacy,www.knightsbridge-pharmacy.com,+44 20 3581 3383,hello@knightsbridge-pharmacy.com,300.0
the whitehall clinic,www.whitehallclinic.com,+44 113 833 4900,hello@whitehallclinic.com,300.0
