,company_name,company_number_0,company_number_1,company_number_2,company_number_3,company_number_4,company_email_0,company_email_1,company_email_2,company_email_3,company_link_0,company_link_1,company_link_2,company_link_3
21,001 alpha express testing,+44 161 672 5190,,,,,enquiries@001alphaexpresstesting.co.uk,,,,www.001alphaexpresstesting.co.uk,,,
22,001 covid test,+44 330 133 4285,,,,,contact@001covidtest.co.uk,"
contact@001covidtest.co.uk
",,,001covidtest.co.uk,www.001covidtest.co.uk,,
23,001 digital health group ltd t/a pharma diagnostics,+44 20 8432 3309,,,,,info@pcrdirect.co.uk,info@pharmadiagnostics.co.uk,,,pcrdirect.co.uk,,,
24,001 expert covid testing uk,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,,www.expertcovidtestinguk.com,,,
25,001aexpresstesting,+44 161 672 5190,,,,,enquiries@myexpresstesting.co.uk,,,,www.myexpresstesting.co.uk,,,
26,001expert covid testing uk,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,,www.expertcovidtestinguk.com,,,
27,004 medical testing,+44 161 989 5333,,,,,info@4medicaltesting.co.uk,info@medicaltesting.co.uk,,,4medicaltesting.co.uk,,,
28,0044 covid test,+44 20 3983 5043,+44 20 3950 3394,,,,hello@0044covidtest.com,"
hello@0044covidtest.com
",,,0044covidtest.com,www.0044covidtest.com,,
29,0044healthtesting,+44 1228 112411,,,,,mail@0044healthtesting.co.uk,help@0044healthtesting.co.uk,,,0044healthtesting.co.uk,,,
30,004medical testing,+44 161 989 5333,,,,,info@4medicaltesting.co.uk,,,,4medicaltesting.co.uk,,,
31,00analysis1,+44 161 806 0420,,,,,help@00analysis1.co.uk,,,,00analysis1.co.uk,,,
32,00expert tms limited,+44 1925 691542,,,,,enquiries@expertcovidtestinguk.com,,,,www.expertcovidtestinguk.com,,,
33,01 ct24 solutions ltd,+44 20 4533 8934,,,,,info@ct24.co.uk,,,,ct24.co.uk,,,
34,01 harley street,+44 20 3886 1301,,,,,help@01harleystreet.co.uk,,,,01harleystreet.co.uk,,,
35,01 health hub,+44 1604 930385,,,,,info@thehealthhub.com,,,,www.1healthhub.co.uk,,,
36,01harleystreet,+44 20 3886 1301,,,,,help@01harleystreet.co.uk,,,,01harleystreet.co.uk,,,
37,01pcrtravel london,+44 20 3475 7050,,,,,info@pcrtravel.co.uk,,,,pcrtravel.co.uk,,,
38,01st class testing,+44 20 3442 0280,,,,,info@1stclasstesting.co.uk,,,,1stclasstesting.co.uk,,,
39,04 medical testing,+44 161 989 5333,,,,,info@4medicaltesting.co.uk,,,,4medicaltesting.co.uk,,,
40,044 covid test,+44 20 3950 3394,,,,,hello@0044covidtest.com,,,,0044covidtest.com,,,
41,0ptimized body & mind,+44 333 012 4214,,,,,info@optimizedbodyandmind.co.uk,,,,optimizedbodyandmind.co.uk,,,
42,1  harley medic international,+44 330 390 3666,,,,,info@harleymedic.co.uk,,,,www.harleymedic.co.uk,,,
43,1  nomad,+44 1902 943711,,,,,day2and8testing@nomadtravel.co.uk,,,,www.nomadtravel.co.uk,,,
44,1 affordabletest.com,+44 20 3475 0940,,,,,travel@1affordabletest.com,,,,1affordabletest.com,,,
45,1 alpha express testing,+44 161 672 5190,,,,,enquiries@001alphaexpresstesting.co.uk,,,,www.001alphaexpresstesting.co.uk,,,
46,1 corporate covid tests,+44 20 3950 3394,,,,,1corporate@rightangled.co,,,,www.1corporatecovidtests.com,,,
47,1 covclinics,+44 161 529 5488,,,,,info@covclinics.co.uk,"
info@covclinics.co.uk
",,,www.covclinics.co.uk,www.1covclinics.co.uk,,
48,1 harley medic international,+44 330 390 3666,,,,,info@harleymedic.co.uk,,,,www.harleymedic.co.uk,,,
49,1 health hub,+44 1604 930385,,,,,info@thehealthhub.com,"
info@thehealthhub.com
",,,www.1healthhub.co.uk,,,
50,1 health hub ltd,+44 1604 930385,,,,,info@thehealthhub.com,,,,www.1healthhub.co.uk,,,
51,1 nhl pharmacy,+44 7393 845321,,,,,esales@nhlpharmacy.co.uk,,,,www.getavaccine.co.uk,,,
52,1 pcrtravel london,+44 20 3475 7050,,,,,info@pcrtravel.co.uk,,,,pcrtravel.co.uk,,,
53,1 st class testing,+44 20 3442 0280,,,,,info@1stclasstesting.co.uk,,,,1stclasstesting.co.uk,,,
54,1 stop covid shop,+44 033282821,+44 7862 268224,+44 20 3642 2141,+44 202778657,+44 201927381,contact@1stopcovidshop.com,"
contact@1stopcovidshop.com
",,,www.1stopcovidshop.com,1stopcovidshop.com,,
55,10 harley linknurse clinic london,+44 20 3950 8134,,,,,10harley@linknurse.co.uk,"
10harley@linknurse.co.uk
",,,www.linknurse.co.uk,,,
56,10 hs linknurse clinic london,+44 20 3950 8134,,,,,10harley@linknurse.co.uk,,,,www.linknurse.co.uk,,,
57,100 covid clear,+44 330 133 3899,,,,,help@100covidclear.co.uk,"
help@100covidclear.co.uk
",,,100covidclear.co.uk,,,
58,101 covid travel clinic,+44 333 090 9494,,,,,info@covidtravelclinics.com,"
info@covidtravelclinics.com
",,,www.covidtravelclinics.com,,,
59,101 expert doctors,+44 1274 270270,,,,,support@expertdoctors.uk,,,,www.expertdoctors.uk,,,
60,101 testing,+44 20 3488 8434,,,,,admin@101testing.co.uk,info@101testing.co.uk,"
info@101testing.co.uk
",,,101testing.co.uk,,
61,1010labs,+44 121 822 8430,+44 113 466 0065,,,,covenquiries@1010labs.co.uk,"
covenquiries@1010labs.co.uk
",,,www.1010labs.co.uk,,,
62,107 harley street,+44 20 7935 8627,,,,,covidtesting@107harleystreet.co.uk,,,,107harleystreet.co.uk,,,
63,118 testing,+44 20 3128 2728,,,,,contact@118testing.com,,,,118testing.com,,,
64,118testing,+44 20 3642 2142,+44 751012816,,,,contact@118testing.com,,,,118testing.com,,,
65,12-14 pharmacy,+44 7724 573336,,,,,1214pharmacyltd@gmail.com,"
1214pharmacyltd@gmail.com
",,,www.theacornpharmacy.com,,,
66,121 covicall,+44 7942 349166,+44 7942 322777,,,,info@121covicall.com,,,,121covicall.com,,,
67,121 pure testing,+44 121 293 0414,,,,,hello@puretesting.co.uk,"
hello@puretesting.co.uk
",,,puretesting.co.uk,,,
68,123 clinics,+44 121 817 0999,,,,,info@123clinics.co.uk,,,,123clinics.co.uk,,,
69,123 covid labs,+44 113 521 7944,,,,,support@123labs.co.uk,,,,www.123labs.co.uk,,,
70,123clinics,+44 121 817 0999,,,,,mail@123clinics.co.uk,info@123clinics.co.uk,,,123clinics.co.uk,,,
71,123covidtests,+44 20 3148 2505,,,,,support@123tests.co.uk,,,,www.123tests.co.uk,,,
72,123tests.co.uk,+44 20 3148 2505,,,,,support@123tests.co.uk,,,,,123tests.co.uk,,
73,15 minute covid test,+44 20 3369 0075,,,,,info@15minutecovidtest.co.uk,"
info@15minutecovidtest.co.uk
",,,www.15minutecovidtest.co.uk,,,
74,1affordabletest,+44 20 3475 0940,,,,,travel@1affordabletest.com,,,,1affordabletest.com,,,
75,1affordabletest.com,+44 20 3475 0940,,,,,travel@1affordabletest.com,,,,1affordabletest.com,,,
76,1corporate covid tests,+44 20 3950 3394,,,,,1corporate@rightangled.co,"
1corporate@rightangled.co
",,,www.1corporatecovidtests.com,,,
77,1rapid clinics,+44 20 3137 5047,,,,,info@1rapidclinics.co.uk,"
info@1rapidclinics.co.uk
",,,1rapidclinics.co.uk,rapidclinics.co.uk,,
78,1st class testing,+44 20 3442 0280,+44 7552 251725,,,,info@1stclasstesting.co.uk,,,,1stclasstesting.co.uk,,,
79,1st class testing ltd,+44 20 3442 0280,,,,,info@1stclasstesting.co.uk,,,,1stclasstesting.co.uk,,,
80,1west end medical practice uk,+44 20 3137 5062,,,,,info@1westendmedicalpracticeuk.com,,,,1westendmedicalpracticeuk.com,,,
81,1west end medical practice uk ltd,+44 20 3137 5062,,,,,info@1westendmedicalpracticeuk.com,,,,1westendmedicalpracticeuk.com,,,
82,1westendmedicalpracticeuk,+44 20 3137 5062,,,,,info@1westendmedicalpracticeuk.com,,,,1westendmedicalpracticeuk.com,,,
83,20/30 labs,+44 1604 265119,,,,,2and8@2030lab.com,"
2and8@2030lab.com
",,,www.2030lab.com,,,
84,247 travel tests,+44 333 210 2247,,,,,"
info@247traveltests.com
",info@247traveltests.com,,,www.247traveltests.com,,,
85,247hometesting,+44 20 3976 8353,+44 20397683534,+44 203976835,,,info@247hometesting.com,"
info@247hometesting.com
",,,247hometesting.com,,,
86,247hometesting.com,+44 20 3976 8353,,,,,info@247hometesting.com,,,,247hometesting.com,,,
87,258 postal racoo screening ltd,,+44 800 254 5201,+44 1793 677480,,,info@racoo.co.uk,258postaltesting@racoo.co.uk,"
258postaltesting@racoo.co.uk
",,www.racoorapidtesting.com,www.258postal.com,,
88,29 fleet street ltd,+44 20 8175 8891,,,,,testandrelease@fleetstreetclinic.com,,,,fleetstreetclinic.com,,,
89,29 fleet street ltd t/a fleet street clinic,,+44 20 7353 5678,,,,testandrelease@fleetstreetclinic.com,,,,fleetstreetclinic.com,,,
90,3a covid testing limited,+44 20 3371 1008,,,,,info@3acovidtesting.com,,,,3acovidtesting.com,,,
91,3six health,+44 330 133 4208,,,,,support@3sixhealth.co.uk,"
support@3sixhealth.co.uk
",,,3sixtesting.co.uk,,,
92,4 medical testing,+44 161 989 5333,,,,,"
info@4medicaltesting.co.uk
",info@4medicaltesting.co.uk,,,4medicaltesting.co.uk,,,
93,@01a my express testing,+44 161 672 5190,,,,,enquiries@myexpresstesting.co.uk,,,,www.myexpresstesting.co.uk,,,
94,@corona tests,+44 121 820 5555,,,,,info@coronatests.com,,,,www.coronatests.com,,,
95,@covid19 health clinics limited,+44 20 3811 8545,,,,,info@covid19healthclinics.com,,,,,,,
96,@harley street nurses (t/a harley street nurses ltd),,+44 20 7637 5511,,,,covidtest@harleystreetnurses.com,,,,www.harleystreetnurses.com,,,
97,a hasu diagnostics,+44 333 772 6254,,,,,enquiry@hasudiagnostics.com,"
enquiry@hasudiagnostics.com
",,,www.hasudiagnostics.com,,,
98,a1 covid testing,+44 1603 567257,,,,,info@a1covidtesting.com,,,,www.a1covidtesting.com,,,
99,a1 global testing limited,+44 7459 740756,+44 20 7337 2427,,,,admin@a1globaltesting.com,"
admin@a1globaltesting.com
",,,a1globaltesting.com,,,
100,a1 track&travel,+44 333 335 5910,+44 16973 61948,,,,info@a1trackandtravel.co.uk,,,,www.a1trackandtravel.co.uk,,,
101,abbeycovidscreening,+44 1270 623179,,,,,covidtestbookings@everythinggeneticltd.co.uk,,,,0001abbeycovidscreening.com,,,
102,abg covic ltd,+44 7434 885786,,,,,info@abgcovic.com,,,,abgcovic.com,,,
103,abicare health,+44 161 518 2999,,,,,results@abicarehealth.co.uk,,,,abicarehealth.co.uk,,,
104,abicare health solutions,+44 161 518 2999,,,,,results@abicarehealth.co.uk,,,,abicarehealth.co.uk,,,
105,abicare health solutions ltd (riva health),+44 161 518 2999,,,,,results@abicarehealth.co.uk,"
results@abicarehealth.co.uk
",,,abicarehealth.co.uk,,,
106,accendolab limited,,+44 330 133 3612,,,,traveltests@accendolab.co.uk,info@accendolab.co.uk,"
info@accendolab.co.uk
","
traveltests@accendolab.co.uk
",www.accendolab.co.uk,,,
107,ace-thetix,+44 20 7193 6318,,,,,covid@testingservices.online,,,,testingservices.online,,,
108,acethetix,+44 20 7193 6318,,,,,"
covid@testingservices.online
",,,,www.testingservices.online,,,
109,acethetix testing services,+44 20 7193 3618,,,,,covid@testingservices.online,,,,www.testingservices.online,,,
110,acorn occupational health ltd,+44 1260 27797,+44 1260 277797,,,,"
aburrows@acornoh.co.uk
",aburrows@acornoh.co.uk,covid@acornoh.co.uk,,www.acornoh.co.uk,,,
111,advisa  medica,+44 20 8953 9989,,,,,"
doctor@doctorjlevy.com
",,,,www.covidtestingclinic.co.uk,,,
112,advisa medica,,+44 20 8953 9989,,,,doctor@doctorjlevy.com,info@covidtestingclinic.co.uk,"
doctor@doctorjlevy.com
",,www.covidtestingclinic.co.uk,covidtestingclinic.co.uk,,
113,aeromedical consulting uk,,+44 333 577 4944,,,,covidtesting@aeromedicalconsulting.co.uk,"
covidtesting@aeromedicalconsulting.co.uk
",,,testingatamcuk.com,www.aeromedicalconsulting.co.uk,,
114,aesthetika clinic,,+44 1909 563000,,,,info@aesthetika.co.uk,"
info@aesthetika.co.uk
",,,www.aesthetika.co.uk,,,
115,af aesthetics (enoura medical),+44 20 7183 6465,+44 20 7602 6745,,,,info@covidtesthub.co.uk,"
info@covidtesthub.co.uk
",,,www.covidtesthub.co.uk,,,
116,affinity health,,+44 1473 351029,,,,support@affinityhealth.uk,,,,www.affinityhealth.uk,,,
117,afforable tfnow,+44 141 628 5667,,,,,day28@londontest.co,,,,londontest.co.uk,,,
118,agg coventry ltd ta vantage chemist,+44 24 7622 2985,,,,,vantagechemist@btconnect.com,"
vantagechemist@btconnect.com
",,,www.vantagechemistcoventry.com,,,
119,agilis health,+44 1592 269570,,,,,help@agilishealth.co.uk,"
help@agilishealth.co.uk
",,,agilishealth.co.uk,,,
120,ais covid testing ltd,+44 7942 322777,,,,,info@aiscovid.com,"
info@aiscovid.com
",,,www.aiscovid.com,aiscovid.com,,
121,al-shadhilli ltd,,+44 121 439 8062,,,,shifapharmacist@gmail.com,,,,www.shifa-pharmacy.co.uk,,,
122,alexandru livinschi (t/a bai long ltd),+44 7902 198555,+44 20 7520 9236,,,,office@covid19getatest.co.uk,,,,covid19getatest.co.uk,,,
123,alexandru livinschi (t/a gat c-19),+44 20 7520 9236,,,,,office@covid19getatest.co.uk,,,,covid19getatest.co.uk,,,
124,all healthcare,,+44 330 223 6783,,,,info@allhealthcare.co.uk,,,,allhealthcare.co.uk,,,
125,alphabiolabs,,+44 1925 255450,+44 0441925255450,,,covid@alphabiolabs.com,"
covid@alphabiolabs.com
",,,www.alphabiolabs.co.uk,,,
126,alphamedicol ltd,,+44 330 223 6808,,,,info@alphamedicol.co.uk,,,,alphamedicol.co.uk,,,
127,alphamedicol ltd.,+44 330 223 6808,,,,,info@alphamedicol.co.uk,,,,alphamedicol.co.uk,,,
128,ambulance services 24 ltd,+44 1264 310303,,,,,info@ambulanceservices24.co.uk,,,,www.ambulanceservices24.co.uk,,,
129,ambutech pre-hospital care,+44 161 505 1959,,,,,covid@ambutech.co.uk,"
covid@ambutech.co.uk
",,,ambutech.co.uk,,,
130,amin pharmacy,+44 20 8570 9144,,,,,aminpharmacy@outlook.com,,,,www.aminpharmacyhounslow.co.uk,,,
131,an sf screening and vaccination service,,+44 113 873 0242,,,,info@sfvaccinations.co.uk,info@sfvaccinations.co.uk ,,,www.sfvaccinations.co.uk,,,
132,analysis1,+44 161 806 0420,,,,,help@00analysis1.co.uk,,,,analysis1.co.uk,,,
133,andres pharmacy,+44 20 8904 9059,,,,,"
andrespharm261@hotmail.com
",andrespharm261@hotmail.com,,,pharmaelite.co.uk,,,
134,anglia dna services,+44 1603 320777,,,,,ttp@angliadna.co.uk,"
ttp@angliadna.co.uk
",,,covidfit2fly.com,,,
135,anglo belgravia,+44 7724 201894,,,,,covid@bg-london.com,"
covid@bg-london.com
",,,www.bg-london.com,,,
136,apollo testing,+44 121 828 4023,,,,,support@apollotesting.com,,,,www.apollotesting.com,,,
137,arrival diagnostics,+44 7565 251834,,,,,hello@arrivaldiagnostics.co.uk,,,,www.arrivaldiagnostics.co.uk,,,
138,arrival test centre,+44 075101828,,,,,contact@arrivaltestcenter.com,,,,arrivaltestcenter.com,,,
139,arriving uk,+44 330 024 9176,,,,,info@arrivinguk.com,,,,,www.arrivinguk.com,,
140,arrivinguk,+44 330 024 9176,,,,,info@arrivinguk.com,,,,arrivinguk.com,,,
141,ask chemist,+44 1205 352778,,,,,enquiries@askchemist.co.uk,"
enquiries@askchemist.co.uk
",,,askchemist.co.uk,,,
142,assured screening,+44 800 135 7095,,,,,enquiries@assuredscreening.com,"
enquiries@assuredscreening.com
",,,www.assuredscreening.com,,,
143,assured screening.com,+44 7764 899076,,,,,enquiries@assuredscreening.com,,,,,,,
144,assuredscreening.com,+44 800 135 7095,,,,,enquiries@assuredscreening.com,,,,www.assuredscreening.com,,,
145,atlas medical services ltd,+44 20 8798 2520,,,,,covidtesting@atlasmed.co.uk,,,,atlasmed.co.uk,,,
146,atropa blood clinic,+44 1482 351209,,,,,fit2fly@atropabloodclinic.co.uk,,,,,,,
147,atruchecks,+44 20 3500 2019,,,,,help@atruchecks.com,"
help@atruchecks.com
",,,covid19tests.atruchecks.com,,,
148,audley pharmacy,+44 20 7493 6133,,,,,"
covid@audleypharmacy.london
",covid@audleypharmacy.london,,,audley-remedys.uk,,,
149,avante health ltd,+44 333 006 9610,,,,,support@avantehealth.co.uk,"
support@avantehealth.co.uk
",,,www.avantetestcentre.co.uk,,,
150,avante health private gp,+44 333 006 9610,+44 7971 810448,,,,support@avantehealth.co.uk,,,,www.avantetestcentre.co.uk,,,
151,avery labs,+44 1422 416117,,,,,info@averylabs.co.uk,,,,www.averylabs.co.uk,,,
152,avicenna health,,+44 20 8712 5565,,,,covid@avicenna-health.com,"
covid@avicenna-health.com
",,,www.avicenna-health.com,,,
153,bansals pharmacy,+44 1702 587500,,,,,pharmacy.bansal@nhs.net,,,,www.bansalspharmacy.co.uk,,,
154,bansals pharmacy (southend on sea),+44 1702 587500,,,,,bansalspharmacyservices@gmail.com,,,,bansalspharmacy.co.uk,,,
155,"bansals pharmacy (southend on sea),",+44 1702 587500,,,,,bansalspharmacyservices@gmail.com,,,,bansalspharmacy.co.uk,,,
156,barkerhouse pharmacy,+44 1282 612140,,,,,barkerhouse.pharmacy@nhs.net,"
barkerhouse.pharmacy@nhs.net
",,,barkerhousepharmacy.co.uk,,,
157,baseline medicine,,+44 7540 256296,,,,info@baselinemedicine.co.uk,"
info@baselinemedicine.co.uk
",,,www.baselinemedicine.co.uk,,,
158,bestway national chemists t/a well pharmacy ltd,,+44 1782 597313,,,,hello@well.co.uk,,,,www.well.co.uk,,,
159,better2know,,+44 20 7099 0955,,,,info@better2know.com,"
info@better2know.com
",,,www.better2know.co.uk,,,
160,biograd diagnostic laboratories,+44 151 482 9695,,,,,clinical@biograd.co.uk,,,,www.biograd.co.uk,,,
161,biograd diagnostics,,+44 151 482 9695,+44 345 565 1725,,,clinical@biograd.co.uk,"
clinical@biograd.co.uk
",,,www.biograddiagnostics.co.uk,,,
162,biogroup laboratory,+44 20 3885 0078,+44 20 4542 7774,,,,traveltestpackage@biogroup-laboratory.co.uk,"
traveltestpackage@biogroup-laboratory.co.uk
",,,biogroup-laboratory.co.uk,,,
163,biolab london ltd,+44 7776 526772,,,,,customer.service@biolablondon.co.uk,,,,,,,
164,biotherapy services,+44 20 7112 4964,,,,,info@rapidcovidtesting.org.uk,"
info@rapidcovidtesting.org.uk
",,,www.rapidcovidtesting.org.uk,www.rapidcovidtesting.com,,
165,black and banton,+44 191 487 1040,,,,,covidteam@blackandbanton.co.uk,"
covidteam@blackandbanton.co.uk
",,,www.blackandbanton.co.uk,,,
166,blackburn travel clinic,,+44 1254 54988,,,,info@blackburntravelclinic.co.uk,blackburntravelclinic@gmail.com,"
blackburntravelclinic@gmail.com
",,blackburntravelclinic.co.uk,,,
167,blindspot global,+44 333 242 0580,,,,,info@blindspotglobal.com,,,,blindspotglobal.com,www.blindspotglobal.com,,
168,blindspot global ltd,+44 333 242 0580,,,,,info@blindspotglobal.com,,,,blindspotglobal.com,,,
169,blue horizon medicals,+44 800 999 1110,,,,,assistance@bluehorizonmedicals.co.uk,covid@bluehorizonmedicals.co.uk,"
covid@bluehorizonmedicals.co.uk
",,www.bluehorizonbloodtests.co.uk,bluehorizonbloodtests.co.uk,,
170,book a travel test,+44 20 3811 8197,,,,,support@bookatraveltest.com,,,,,,,
171,boots uk,,+44 345 121 2837,,,,boots.customercare_team@boots.co.uk,"
boots.customercare_team@boots.co.uk
",,,www.boots.com,,,
172,bristol travel clinic,+44 800 772 3575,,,,,info@bristoltravelclinic.co.uk,,,,www.bristoltravelclinic.co.uk,,,
173,brunswick hygiene,+44 20 4541 6392,+44 800 689 1481,,,,info@brunswickhygiene.com,,,,brunswickhygiene.com,www.brunswickhygiene.com,,
174,brunswick hygiene ltd,+44 800 689 1481,+44 1273 121528,,,,info@brunswickhygiene.com,"
info@brunswickhygiene.com
",,,www.brunswickhygiene.com,brunswickhygiene.com,,
175,bupa occupational health ltd,+44 161 497 0661,,,,,mycovidtest@bupa.com,"
mycovidtest@bupa.com
",,,www.bupa.co.uk,,,
176,bupa occupational health ltd.,+44 161 497 0661,,,,,"
mycovidtest@bupa.com
",,,,www.bupa.co.uk,,,
177,c & h esher limited (t/a central pharmacy),,+44 1372 464007,,,,covidtestbookings@candhesher.com,,,,www.centralpharmacyesher.com,,,
178,c & h esher ltd,+44 1372 46007,,,,,covidtestbookings@candhesher.com,"
covidtestbookings@candhesher.com
",,,www.centralpharmacyesher.com,,,
179,"c & h esher ltd t/a central pharmacy, esher",+44 1372 464007,,,,,covidtestbookings@candhesher.com,,,,www.centralpharmacyesher.com,,,
180,c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus,+44 20 3002 6070,,,,,info@c-19direct.com,,,,c-19direct.com,,,
181,"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus",+44 20 3002 6070,,,,,info@c-19direct.com,,,,c-19direct.com,,,
182,c19 testing,+44 20 3920 9012,,,,,support@c19testing.co.uk,"
support@c19testing.co.uk
",,,www.c19testing.co.uk,,,
183,calder pharmacy & medspa clinic,+44 20 7034 0156,,,,,info@medspa.co.uk,,,,www.medspa.co.uk,,,
184,calder pharmacy & medspa clinic notting hill,+44 20 7034 0156,,,,,info@medspa.co.uk,,,,,,,
185,calder pharmacy & medspa clinic of notting hill,+44 20 7034 0156,,,,,info@medspa.co.uk,"
info@medspa.co.uk
",,,,www.medspa.co.uk,,
186,caliber medical services,+44 7842 451207,,,,,martin@calibermedicalservices.co.uk,,,,www.calibermedicalservices.co.uk,,,
187,candarin medical,+44 7906 873581,,,,,sophia@candarinuk. com,sophia@candarinuk.com,"
sophia@candarinuk.com
",,candarinmedical.com,,,
188,caxton pharmacy,+44 20 8460 0377,,,,,info@caxtonpharmacy.com,"
info@caxtonpharmacy.com
",,,www.caxtonpharmacy.com,,,
189,centennial medical care,+44 20 3327 7777,,,,,info@centennialmedical.co.uk,"
info@centennialmedical.co.uk
",,,www.centennialmedical.co.uk,centennialmedical.co.uk,,
190,chase lodge hospital,+44 20 8358 7100,,,,,info@chaselodgehospital.com,,,,www.chaselodgehospital.com,,,
191,chb medical,+44 1242 698371,,,,,info@chbmedical.com,"
info@chbmedical.com
",,,www.chbmedical.co.uk,,,
192,chb medical ltd,+44 1242 698371,,,,,info@chbmedical.com,"
info@chbmedical.com
",,,www.chbmedical.co.uk,,,
193,check my body health,+44 1604 930250,,,,,covidteam@checkmybodyhealth.com,"
covidteam@checkmybodyhealth.com
",,,checkmybodyhealth.com,checkmybodyhealth.co.uk,,
194,chelsea medical,+44 20 7589 2353,,,,,cm@chelsealondondoctor.com,"
cm@chelsealondondoctor.com
",,,www.chelsealondondoctor.com,,,
195,chelsea pharmacy medical clinic,+44 20 7589 8776,,,,,contact@cpmedicalclinic.com,"
contact@cpmedicalclinic.com
",,,cpmedicalclinic.com,,,
196,"cheltenham, west midlands & worcester travel clinics",,,,,,covidtest@raylane.co.uk,,,,raylanetravelclinics.co.uk,,,
197,"cheltenham, worcester & west midlands travel clinics",+44 330133412,+44 330 133 4124,,,,covidtest@raylane.co.uk,,,,raylanetravelclinics.co.uk,,,
198,"cheltenham, worcester and west midlands travel clinics",+44 330133412,,,,,covidtest@raylane.co.uk,"
covidtest@raylane.co.uk
",,,raylanetravelclinics.co.uk,,,
199,chhp and ceritific,,+44 20 3989 8008,,,,,support.chhp@certific.co,,,,certific.chhp.com,,
200,chronomics,+44 20 4519 7400,,,,,support@chronomics.com,"
support@chronomics.com
",,,www.chronomics.com,,,
201,cht,,+44 20 3319 6469,,,,contact@covidhometest.co,"
contact@covidhometest.co
",,,,www.covidhometest.co,,
202,church pharmacy,+44 333 577 4575,,,,,clinic@thechurchpharmacy.com,"
clinic@thechurchpharmacy.com
",,,thechurchpharmacy.com,,,
203,church pharmacy weybridge,,+44 333 577 4575,,,,orders@churchpharmacyclinic.co.uk,,,,churchpharmacyclinic.co.uk,,,
204,churchill's pharmacy,+44 20 8994 0229,,,,,covid@churchillspharmacy.co.uk,,,,befittofly.com,,,
205,cignpost diagnostics,,+44 20 3384 0000,,,,info@expresstest.co.uk,,,,www.expresstest.co.uk,,,
206,circular 1 health ltd,+44 800 799 9751,,,,,customerservice@circular1.com,"
customerservice@circular1.com
",,,circular1.com,,,
207,citydoc medical,+44 20 3794 6697,,,,,support@citydoc.org.uk,,,,www.citydoc.org.uk,,,
208,citydoc medical limited,,+44 20 3794 6697,+44 20 3325 0174,+44 1688 320318,,support@citydoc.org.uk,"
support@citydoc.org.uk
",,,www.citydoc.org.uk,,,
209,ck doctors covid travel clinics,+44 333 090 9494,,,,,support@covidtravelclinics.com,,,,www.covidtravelclinics.com,,,
