,company_name,registered_name
258,coyne medical,
259,coyne medical ltd,
260,cq doctor,
261,crown laboratories ltd,
262,cryo express,
263,ct24 solutions ltd,
264,ctm (nhs t&t),
265,d&a screening ltd,
266,dajani pharmacy,
267,dante labs,
268,daya pharmacy,
269,dears pharmacy & travel clinic,
270,dgc health ltd,
271,digital health group ltd t/a pharma diagnostics,
272,dna workplace,
273,dochq.co.uk,
274,doctap,
275,doctap ltd,
276,doctor driver assessment ltd,
277,doctorcall limited,
278,doctors clinic group,
279,doctors covid travel clinics,
280,dorset private gp,dorset private medical clinic llp
281,dr mo private clinic,blackwater private clinic ltd
282,dr mo private clinic norwich,
283,dr shilpa dave private gp teddington,
284,dr tim lebens,
285,dr wayne cottrell,
286,"dr wayne cottrell, private gp canary wharf",
287,dr. shilpa dave private gp teddington,
288,dr. wayne cotrell & co.,
289,duality health,applied duality ltd
290,east midlands laser and cosmetic clinic ltd,
291,easter pharmacy,
292,easy testing,cfstestnondesg testing
293,easy testing ltd,
294,edgbaston private medical practice,
295,edgcare private community family doctors,
296,effect doctors,
297,elements medical,four elements medical services ltd
298,elite safety clinic,
299,em analytical ltd,
300,empire medicines ltd t/a empire pharmacy,
301,enoura medical (af aesthetics),
302,epistem,
303,est-health wellness clinic,the aesthetic & wellness clinic ltd.
304,eurofins,eurofins agroscience services limited
305,eurofins forensic services,
306,eurofins forensic services ltd,
307,everwell chinese medical centre ltd,arborvitae chinese medical centre ltd.
308,everything genetic,
309,everything genetic limited,
310,everything genetic ltd,
311,everythinggeneticlimited,
312,evolve medical,evolve medical aesthetics limited
313,excalibur diagnostics ltd,excalibur 
314,expert covid testing uk,
315,expert doctors,expert doctors ltd
316,expert medicals,expert medicolegal limited
317,expert tms limited,
318,express testing,
319,expresstest by cignpost diagnostics,cignpost diagnostics limited
320,fakir chemist,
321,family medics,your family medics limited
322,first medical consultants,
323,fit to fly uk,fit to fly essex limited
324,fit2fly test ltd,
325,fit2fly24/7 ltd,
326,fitnessgenes,
327,flow living medi-care services,
328,flysurance,
329,forensic genomics innovation hub ltd,
330,fusion pharmacy,
331,fusion radiology,
332,fusion radiology ltd,
333,future health technologies,
334,future health technologies limited,
335,future healthcare ltd,future healthcare limited
336,g16 covid testing,alpha biolaboratories covid-19 testing limited
337,genesis support (t/a fit to fly uk),
338,ghosh medical group,
339,global covid19 testing,
340,global express travel health clinic,
341,global express travel health clinic ltd,
342,global health travel clinic,
343,global health travel clinic - longcross surrey,global health travel clinic ltd
344,good egg medical,
345,good egg medical limited,
346,goodbody clinic,
347,gpdq,
348,gpdq ltd,
349,guildhall pharmacy,
350,hale clinic harley street,
351,halo verify,
352,hampshire travel clinic,
353,"hampstead heath pharmacy, travel health & vaccination clinic",
354,harley medic international,harley street medicare international ltd
355,harley street dr,dr q london harley street ltd
356,harley street nurses,harley street breast clinics ltd
357,harley street nurses ltd,
358,harleys pharmacy,
359,harleystreet,harleystreet - psychotherapist.co.uk limited
360,harper institute ltd,
361,harper medical ltd,harper medical technology limited
362,harveyrhys clinic,
363,hawkes health,hawkes healthcare limited
364,heald green pharmacy,
365,healthclic,healthclick ltd
366,healthium clinics,
367,healthwork,healthwork group limited
368,healthwork ltd,
369,healthyaa clinic,
370,heart lung centre,
371,heathrow medical services,
372,heathrow medical services llp,
373,helix services limited also t/a travel test assured,
374,herts,herts property management ltd
375,hhh diagnostics,
376,home2lab,
377,https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482,
378,i-gen testing,
379,i-gen testing limited,
380,ihomecare,ihomecarelogistics limited
381,ingleton pharmacy,
382,insta care solutions limited,instant care solutions limited
383,iq  doctor,
384,iq doctor,
385,iqdoctor,
386,isac labs ltd,
387,jace medical,
388,jdoc medical limited,
389,jdoc medical limited ( t/a jdoc365),
390,jdoc medical limited (t/a jdoc365),
391,jdoc medical linited (t/a jdoc365),
392,john bell & croyden,
393,js biomedical ltd,jsm biomedical services ltd
394,just health,just health limited
395,katalyst laboratories,
396,kings medical centre,kings house medical centre limited
397,klarity,klarity limited
398,klinical enterprises ltd t/a national covid testing,
399,knightsbridge pharmacy,
400,kurix health,
401,kyl healthcare services limited t/as the honeybee private nurse clinic,
402,la perla clinic,
403,labmedexpert,labmedexpert administration limited
404,labmedexpert limited,
405,laser and light,laser and light kent ltd
406,leeds covid testing,
407,leeds covid testing ltd,ais covid testing ltd
408,leigh broadway pharmacy (elm road),
409,lifecrest ltd trading as (lifecrest medical laboratory),lifecrest trading ltd
410,linbury doctors,
411,live covid testing,
412,local pcr,
413,locaton medical services ltd,uk independent medical services ltd
414,london corona test centre,
415,london covid testing,
416,london elite health,
417,london medical concierge,belmont medical concierge london ltd
418,london medical laboratory,mobile medical laboratory london limited
419,london medical laboratory / private coronavirus tests,
420,london nutrition doctor,
421,london screening centre,london screening centre holdings limited
422,london screening street,
423,london vaccination clinic,
424,longridge travel health clinic,
425,lord's pharmacy,
426,lyca health,lyca health canary wharf limited
427,mare st clinic,
428,masta,masta build ltd
429,masters (uk) limited t/a nechells pharmacy and masters pharmacy,
430,masters pharmacy,
431,mayfair doctors,mayfair doctors limited
432,mayfair pharmacy,
433,mayfield clinic,the mayfield clinic limited
434,mdna life sciences,advent life sciences llp
435,mdna life sciences (uk) ltd,
436,mdx healthcare ltd t/a medix,
437,me360 healthcare limited t/a me360 testing services,
438,me360 healthcare ltd t/a me360 testing services,
439,me360 testing services,
440,med24 limited,med24 limited
441,medchecks,
442,medi-park clinic,
443,medi-swift,mediswift international health services uk limited
444,medic 1 direct,medic 1 direct scotland ltd
445,medic testing,4 medical testing limited
446,medical,medical synergies ltd
447,medical and rescue,medical and rescue services ltd
448,medical and rescue - london and lhr,medical and rescue ltd
449,medical covid test,
450,medical diagnosis,medical diagnosis and prediction company limited
451,medical logistics,medical logistics ltd
452,medical logistics / samedaycoronavirustests.com,
453,medical testing,j2 medical testing uk ltd
454,medicines online,
455,medicines online ltd,
456,medicspot,medic spot limited
457,medinow,
458,mediscan diagnostic services,
459,medplus test,
460,medwyn occupational health,abbey meads occupational health services limited
461,mhf medical concierge,
462,midland covid testing,
463,midland covid testing limited,ais covid testing ltd
464,midland health,midland healthcare limited
465,midlands ultrasound and medical services,
466,mildcare ltd,
467,minton treharne & davies laboratories,
468,minton treharne & davies laboratories limited,
469,mk18 private medical practice,kings hill private medical practice limited
470,mlp,mlp wealth management ltd
471,mobihealth international,
472,moore medical practice,john moore dental practice limited
473,msh medical,msh medical spa holding ltd
474,msi clinics,
475,msi clinics limited,
476,my express testing,
477,my express testing uk,
478,my local travel clinic,
479,my london pharmacy,
480,my private chemist,
481,myhealthcare clinic,
482,myhealthchecked,
483,national covid testing (klinical enterprises ltd),
484,nationwide pathology,
485,nationwide pathology limited,
486,nechells pharmacy and masters pharmacy,
487,new street pharmacy,grove street pharmacy limited
488,new street pharmacy t/a the travel vaccine room,
489,newcastle premier health,
490,nhl pharmacy,
491,nivha laboratory services ltd,c4l laboratory services ltd
492,"nivha laboratory services ltd, randox",
493,nivha laboratory services ltd.,c4l laboratory services ltd
494,nl clinic,nl clinic camden ltd
495,nomad,
496,nomad travel,nomad travel (t/a adams travel) ltd
497,north and north west london covid tests,
498,north devon travel clinic,south devon travel clinic ltd
499,northend clinic,north end clinic limited
500,northway clinic,
501,nottinghamshire,nottinghamshire county council 
502,now test,
503,nph group,
504,nutraceuticals laboratory london limited,
505,nx healthcare,
506,objective health ltd,objective: health limited
507,occupational health bristol,abel occupational health resolutions ltd
508,occupational health prime,abbey meads occupational health services limited
509,olive health & travel clinic,olive health ltd
510,one scientic ltd,
511,one scientific ltd,one scientific limited
512,one scientific ltd.,one scientific limited
513,one5 health,
514,optimized body &  mind,
515,optimized body & mind,
516,optipharm pharmacy,
517,orchard clinic / orchard blood,
518,oscartech uk,oscartechno limited
519,outcome diagnostics,
520,outcome diagnostics (outcomedx),
521,outcome diagnostics t/a 123 tests,
522,oxford covid tests,
523,pall mall medical (manchester) limited,
524,pcr labs,
525,pcrtravel ltd london,
526,pct healthcare,pct healthcare limited
527,"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy",
528,pennfields pharmacy,
529,peplobio,
530,pexpo diagnostic,
531,pexpo diagnostics,
532,pharmacy led clinic,
533,pharmasuite,
534,pharmesthetics ltd,
535,pharmesthetics ltd (t/a http://www.samedayclinic.co.uk),
536,physiofunction,physiofunction (supplies) ltd
537,physiowork therapy uk ltd,
538,pillhub-feltham pharmacy,
539,polaris medical services ltd,
540,premier clinic ltd,premier clinical care ltd
541,private gp clinic,private gp clinic llp
542,private gp services uk ltd,private gp services (uk) limited
543,private gp teddington,
544,private harley street clinic,private harley street clinic ltd.
545,private-testing-providers london cloudapps digital refresh,
546,project olive lindfield limited,
547,project screen by prenetics,
548,protein technologies ltd / rapiditydx,
549,protein technologies ltd t/a as rapiditydx,
550,protein technologies t/a rapiditydx,
551,proviris solutions,
552,pt diagnostics,cignpost diagnostics limited
553,pulmonics,
554,pulteney pharmacy,
555,pureflo health ltd,
556,pyramid pharmacy,
557,pyramid pharmacy bermondsey,
558,pyramid pharmacy woolwich,
559,pyser testing,
560,queen anne street medical centre,
561,quest medical,quest medical development ltd
562,quick clinics,
563,quick meds,quickmeds limited
564,quick meds using labmedexpert,
565,qured,quredebt limited
566,rainbow labs,
567,ramss,
568,ramss limited,
569,randox health airport testing,
570,randox health liverpoolone,
571,randox health london limited,
572,randox laboratories,
573,randox laboratories ltd,
574,rapid covid testing,
575,rapid health test,
576,rapid pcr,
577,rapiditydx,
578,rb health and safety solutions ltd,
579,rb healthcare ltd,r.b. healthcare properties limited
580,reading fit to fly,
581,reading fit to fly/oxford road clinics ltd,
582,recovery4life,recovery 4 life limited
583,red 1 response,
584,remedi health,
585,remedys pharmacy,
586,remedys pharmacy w9,
587,research consultancy and health ltd,
588,reviv uk,reviv uk ltd
589,rightangled,right angle design limited
590,rivahealth,riva health and beauty limited
591,roc health services,
592,roc private clinic,the belvedere private clinic limited
593,rosalyn’s medical and wellbeing clinic,
594,roshni clinic,
595,rt diagnostics,cignpost diagnostics limited
596,same day clinic,
597,samedaydoctor,samedaydoctor city limited
598,samedaydoctor canary wharf,canary wharf2 llc 
599,samedaydoctor city clinic,
600,samedaydoctor manchester,
601,saunders pharmacy,
602,scotnursing & medical services (snms),scotnursing & medical services limited
603,screen4,screen4paws ltd
604,sevenoaks gp t/a the private gp clinic,
605,shakib&neale limitd (107 harley street),
606,shantys pharmacy,
607,sirkka networks limited,trefoil networks limited
608,site lt,
609,skc occupational health,
610,skc occupational health oxford,
611,sloane square medical,
612,sloane street testing,
613,solice health ltd,
614,solihull health check clinic,
615,somdoc ltd / home2lab,
616,sorcha biotech,
617,source bioscience,
618,south west london covid 19 testing centre,
619,south west london covid-19 centre,
620,southdowns private healthcare,
621,sterling testing,sterling testing limited
622,summerfield healthcare,summerfields healthcare limited
623,sussex healthcare solutions ltd,
624,synlab,synlab uk limited
625,t consultants,tinworth consultants ab 
626,t consultants ltd,independant training and education consultants ltd
627,"t/a nash travel, tourism and transport services ltd",
628,tac healthcare group,
629,tamsel (uk) ltd,
630,test assurance group,
631,test for now,
632,test for now ltd,
633,test to you,
634,testing for all,
635,testngo,
636,the bridge clinic,
637,the city & travel clinic,
638,the clinic mk ltd,
639,the express clinic,
640,the guildhall practice,friends of the guildhall c.i.c.
641,the health clinic by ar,
642,the health clinic by ar limited,
643,the health suite,
644,the hove practice,
645,the london general practice,the london general practice limited
646,the mayfair gp,
647,the mayfair gp clinic,the mayfair skin clinic limited
648,the medic clinic,
649,the melton clinic,
650,the montague clinic,
651,the new foscote hospital,
652,the palace gate practice limited,
653,the pharmacy at mayfair and clinic,
654,the regenerative clinic,the regenerative clinic ltd
655,the travel health clinic,the travel and health clinic llp
656,the travel vaccine room,
657,the walcote practice,
658,the wellness people ltd,the wellness people ltd
659,the whitehall clinic,
660,thechemistlive.co.uk,
661,top health clinic,
662,totley pharmacy ltd,
663,tower bridge wellness pharmacy,
664,tp healthcare services,tp healthcare ltd
665,tp healthcare services limited,tp healthcare ltd
666,tp healthcare services ltd,tp healthcare ltd
667,travel 19,devonways travel (1982) limited
668,travel centre,travelcentre (clapham) limited
669,travel centre clapham,
670,travel centre clapham ltd,
671,travel klinix,
672,travel test centre ltd,
673,treated.com,
674,trio pharmacy,
675,tuli health,pink tulip health and beauty care limited
676,uk covid test centre,
677,uk event medics,uk event medics limited
678,uk event medics limited,uk event medics limited
679,uk event medics ltd,uk event medics limited
680,uk health testing,
681,uk testing arrival centre,
682,ukcovidtest,
683,vaccination uk ltd,vaccination uk limited
684,vanite clinic,
685,visithealth limited,
686,vista pharmacy,
687,vitacheck,vitacheck health limited
688,vitox,vitox ltd
689,vivo clinic,vivo clinic birmingham limited
690,vsm pharmacy,
691,well pharmacy (bestway national chemists ltd),
692,well pharmacy (bestway national chemists),
693,west midlands,west midlands anaesthesia ltd
694,weston road pharmacy,
695,westwood pharmacy,
696,winchester gp,winchester & weywood inc 
697,woodsetton pharmacy,
698,world travel clinic,
699,worldwide travel health clinic,
700,wren healthcare,wren healthcare education limited
701,"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd.",
702,xana medtec,
703,xana medtec ltd,
704,yakub chemist,
705,your doctor film and media,
706,your gp circle,
707,your health first,yourhealthfirst clinic ltd
708,your health first ltd,yourhealthfirst clinic ltd
709,your private health,
710,yourhealthfirst clinic,
711,ypchealth,
712,zava,
713,zen healthcare,zen healthcare services ltd
714,zen healthcare (purecare ltd),
715,zoomdoc,zoomdoctor limited
716,zoomdoc health,
