,company_name,company_link,company_number,company_email
147,quick clinics,www.quickclinics.co.uk,+44 20 8092 6507,bookings@quickclinics.co.uk
148,doctor driver assessment ltd,www.doctordriverassessment.com,+44 800 001 6784,sales@doctordriverassessment.com
149,dante labs,dantelabs.co.uk,+44 808 196 5659,contact@dantelabs.com
150,kurix health,www.kurixhealth.co.uk ,,hello@kurixhealth.co.uk
151,daya pharmacy,pharmaelite.co.uk,+44 20 8573 3084,dayapharm750@hotmail.com
152,mobihealth international,mobihealthconsultcovid19.mobihealthinternational.com,,covid19@mobihealthinternational.com
153,nationwide pathology limited,nwp-online.co.uk,+44 1858 571322,
154,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
155,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
156,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
157,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
158,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
159,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
160,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
161,optimized body & mind,optimizedbodyandmind.co.uk,+44 333 012 4214,info@optimizedbodyandmind.co.uk
162,randox health airport testing,fly.randox.com,,covidcustomersupport@randox.com
163,randox laboratories ltd,www.randoxhealth.com,,covidcustomersupport@randox.com
164,brunswick hygiene,brunswickhygiene.com,+44 20 4541 6392,info@brunswickhygiene.com
165,covidfly,www.covidfly.co.uk,+44 7876 148666,enquiries@covidfly.co.uk
166,testing for all,www.testingforall.org,+44 20 3301 1100,travel@testingforall.org
167,now test,www.nowtest.com,,support@nowtest.com
168,a1 track&travel,www.a1trackandtravel.co.uk,+44 333 335 5910,info@a1trackandtravel.co.uk
169,your health first ltd,yourhealthfirstltd.com,,info@yourhealthfirstltd.com
170,dna workplace,www.dnaworkplace.com,,travel@dnaworkplace.com
171,i-gen testing limited,www.igentesting.co.uk,+44 333 577 1106,info@igentesting.co.uk
172,uk health testing,ukhealthtesting.com,+44 1604 800609,covid@ukhealthtesting.com
173,"bansals pharmacy (southend on sea),",bansalspharmacy.co.uk,+44 1702 587500,bansalspharmacyservices@gmail.com
174,calder pharmacy & medspa clinic of notting hill,,+44 20 7034 0156,info@medspa.co.uk
175,ghosh medical group,www.drarunghosh.co.uk,+44 333 200 3338,info@ghoshmedicalgroup.com
176,nx healthcare,www.nxhealthcare.co.uk,+44 20 8168 7100,cservices@nxhealthcare.co.uk
177,protein technologies t/a rapiditydx,rapiditydx.com,,covidtesting@protein-technologies.com
178,the montague clinic,montagueclinic.com,+44 20 3637 7999,expresscovidtests@montagueclinic.com
179,analysis1,analysis1.co.uk,+44 161 806 0420,help@00analysis1.co.uk
180,occupational health bristol,www.occupationalhealthbristol.co.uk,+44 117 332 5993,hello@occupationalhealthbristol.co.uk
181,ukcovidtest,ukcovidtest.co.uk,+44 29 2128 0591,info@ukcovidtest.co.uk
182,coronafocus by oncologica uk ltd (t/a oncologica uk ltd),covid19.oncologica.com,,test@covidprotected.co.uk
183,london corona test centre,www.londoncoronatestcentre.com,,tests@londoncoronatestcentre.com
184,screen4,screen4.org,,covid19@screen4.org
185,coop pharmacy,www.cooppharmacy.coop,,bilston.pharmacyhub@midcounties.coop
186,healthium clinics,healthiumclinics.com,+44 1491 756015,info@healthiumclinics.com
187,healthium clinics,healthiumclinics.com,+44 1491 756015,info@healthiumclinics.com
188,1 corporate covid tests,www.1corporatecovidtests.com,+44 20 3950 3394,1corporate@rightangled.co
189,1 corporate covid tests,www.1corporatecovidtests.com,+44 20 3950 3394,1corporate@rightangled.co
190,1st class testing,1stclasstesting.co.uk,+44 20 3442 0280,info@1stclasstesting.co.uk
191,ace-thetix,testingservices.online,+44 20 7193 6318,covid@testingservices.online
192,covid testing laboraratories,covidtestinglaboratories.com,+44 333 335 0227,orders@covidtestinglaboratories.com
193,medplus test,medplustest.uk,+44 7888 040407,booking@medplustest.uk
194,project olive lindfield limited,projectolive.org,,nicola@projectolive.org
195,@harley street nurses (t/a harley street nurses ltd),www.harleystreetnurses.com,,covidtest@harleystreetnurses.com
196,"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus",c-19direct.com,+44 20 3002 6070,info@c-19direct.com
197,minton treharne & davies laboratories limited,shop.minton.group,+44 20 3002 6070,info@c-19direct.com
198,abg covic ltd,abgcovic.com,+44 7434 885786,info@abgcovic.com
199,proviris solutions,provirissolutions.com,,support@provirissolutions.com
200,better2know,www.better2know.co.uk,,info@better2know.com
201,consultant clinic,consultantclinic.org,+44 161 399 0402,info@consultantclinic.org
202,jace medical,jacemedical.co.uk,+44 7561 180683,testing@medchecks.ie
203,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
204,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
205,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
206,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
207,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
208,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
209,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
210,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
211,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
212,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
213,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
214,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
215,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
216,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
217,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
218,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
219,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
220,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
221,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
222,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
223,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
224,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
225,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
226,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
227,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
228,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
229,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
230,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
231,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
232,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
233,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
234,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
235,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
236,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
237,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
238,me360 healthcare limited t/a me360 testing services,www.me360testingservice.com,+44 7983 443737,me360testingservice@gmail.com
239,outcome diagnostics (outcomedx),www.outcomedx.com,,contact@outcome-diagnostics.co.uk
240,accendolab limited,www.accendolab.co.uk,,traveltests@accendolab.co.uk
241,fit2fly24/7 ltd,www.fit2fly247.co.uk,+44 330 133 3856,customerservices@fit2fly247.co.uk
242,la perla clinic,laperlaclinic.co.uk,+44 1628 488499,laperlareception@gmail.com
243,mhf medical concierge,mhfcovidtesting.co.uk,,info@mhfcovidtesting.co.uk
244,rainbow labs,www.rainbowlabs.co.uk,,support@rainbowlabs.co.uk
245,randox health london limited,fly.randox.com,,covidcustomersupport@randoxhealth.com
246,source bioscience,coviduk.sourcebioscience.com,+44 115 973 9012,covid@sourcebioscience.com
247,testngo,testngo.co.uk,+44 330 133 4454,info@testngo.co.uk
248,1westendmedicalpracticeuk,1westendmedicalpracticeuk.com,+44 20 3137 5062,info@1westendmedicalpracticeuk.com
249,apollo testing,www.apollotesting.com,+44 121 828 4023,support@apollotesting.com
250,1rapid clinics,1rapidclinics.co.uk,+44 20 3137 5047,info@1rapidclinics.co.uk
251,hale clinic harley street,www.haleclinic.com,+44 20 7631 0156,info@haleclinic.com
252,harper institute ltd,www.instituteofpreventativemedicine.com,+44 20 3150 3044,covid@iofpm.com
253,insta care solutions limited,www.instacaresolutions.co.uk,+44 7366 118247,info@instacaresoluions.co.uk
254,pyser testing,,+44 20 7193 3740,sales@pysertesting.com
255,101 testing,,+44 20 3488 8434,admin@101testing.co.uk
256,sirkka networks limited,www.sirkkanetworks.com,+44 330 088 1263,day2day8@sirkkaltd.com
257,baseline medicine,www.baselinemedicine.co.uk,,info@baselinemedicine.co.uk
258,cignpost diagnostics,www.expresstest.co.uk,,info@expresstest.co.uk
259,concepto clinic,conceptoclinic.co.uk,+44 20 3371 8814,support@conceptoclinic.co.uk
260,expresstest by cignpost diagnostics,www.expresstest.co.uk,,info@expresstest.co.uk
261,nl clinic,www.nlclinic.co.uk,+44 208880957,info@nlclinic.co.uk
262,optipharm pharmacy,optipharmpharmacy.co.uk,+44 20 8908 1960,covid@optipharm.co.uk
263,alphabiolabs,www.alphabiolabs.co.uk,,covid@alphabiolabs.com
264,bestway national chemists t/a well pharmacy ltd,www.well.co.uk,,hello@well.co.uk
265,citydoc medical limited,www.citydoc.org.uk,,support@citydoc.org.uk
266,covid test,001covidtest.co.uk,+44 330 133 4285,contact@001covidtest.co.uk
267,elements medical,,+44 1302 343432,covid-19travel@elements.org.uk
268,ihomecare,www.ihomecare.co,,info@ihomecare.co
269,labmedexpert limited,labmedexpert.com,+44 1902 936051,day2andday8@labmedexpert.co.uk
270,"nivha laboratory services ltd, randox",,,covid19@nivha.net
271,site lt,sitelt.co.uk,,covid@sitelt.co.uk
272,vanite clinic,www.vaniteclinic.com,,info@vaniteclinic.com
273,a1 global testing limited,a1globaltesting.com,+44 7459 740756,admin@a1globaltesting.com
274,guildhall pharmacy,,,info@guildhallpharmacy.co.uk
275,myhealthcare clinic,myhealthcareclinic.com,+44 20 7129 7908,coronatesting@myhealthcareclinic.com
276,t consultants ltd,covidtestscentre.com,+44 7952 911145,covidtestscentre@gmail.com
277,tp healthcare services ltd,www.tphealthcareservices.com,+44 20 4542 4558,enquiries@tphealthcareservices.com
278,your private health,yourprivatehealth.co.uk,+44 161 519 4448,info@yourprivatehealth.co.uk
279,covid19 checking,covid19checking.co.uk,+44 330 133 1516,info@covid19checking.co.uk
280,boots uk,www.boots.com,,boots.customercare_team@boots.co.uk
281,claret diagnostics ltd,www.privatecovidtests.co.uk,,customerservices@claretdiagnostics.coms.com
282,ctm (nhs t&t),quarantinehotelbookings.ctmportal.co.uk,+44 20 7429 9983,covid.testkit@travelctm.com
283,flysurance,www.flysurance.co.uk,+44 333 090 3165,info@flysurance.co.uk
284,myhealthchecked,myhealthchecked.com,+44 20 3365 2067,care@myhealthchecked.com
285,qured,qured.com,,support@qured.com
286,zava,www.zavamed.com,+44 20 3588 0292,covidtraveltesting@zavamed.com
287,zoomdoc health,www.zoomdoc.com,,info@zoomdoc.com
288,aeromedical consulting uk,testingatamcuk.com,,covidtesting@aeromedicalconsulting.co.uk
289,book a travel test,,+44 20 3811 8197,support@bookatraveltest.com
290,chhp and ceritific,,,
291,est-health wellness clinic,www.est-health.com,+44 141 230 5781,covid19@est-ethics.com
292,oscartech uk,www.oscartech-uk.com,+44 20 3633 8413,testing@oscartech-uk.com
293,oscartech uk,www.oscartech-uk.com,+44 20 3633 8413,testing@oscartech-uk.com
294,oscartech uk,www.oscartech-uk.com,+44 20 3633 8413,testing@oscartech-uk.com
295,oscartech uk,www.oscartech-uk.com,+44 20 3633 8413,testing@oscartech-uk.com
296,vista pharmacy,www.vistapharmacy.uk,+44 20 7625 7931,covid@vistapharmacy.uk
297,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
298,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
299,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
300,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
301,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
302,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
303,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
304,chb medical ltd,www.chbmedical.co.uk,+44 1242 698371,info@chbmedical.com
