trustpilot_score,score_category,is_reviewed,company_name
3.3,3-4,True,corona-testing
,No Score,False,coronafocus by oncologica uk
,No Score,False,coronafocus by oncologica uk ltd (t/a oncologica uk ltd)
2.8,2-3,True,corporate covid tests
2.8,2-3,True,cosmebeaute
2.7,2-3,True,courtfield private practice
2.7,2-3,True,cov19 care
,No Score,False,cov19care ltd
,No Score,False,covguard
,No Score,False,covguard premium
,No Score,False,covid 19 private test ltd
3.5,3-4,True,covid clear clinic
2.0,1-2,True,"covid fit to fly tes t/a nash travel, tourism and transport services ltd."
,No Score,False,covid mobile health services/remote trauma ld
,No Score,False,covid smart limited
,No Score,False,covid test
,No Score,False,covid test centre
,No Score,False,covid test hub
,No Score,False,covid test pick and drop
,No Score,False,covid test today
4.5,4-5,True,covid testing laboraratories
3.1,3-4,True,covid testing laboratories
,No Score,False,covid testing laboratories ltd
,No Score,False,covid travel clinics
3.5,3-4,True,covid-19 travel clinic
,No Score,False,covid19 checking
,No Score,False,covid19 health clinics limited
,No Score,False,covidfly
,No Score,False,covido
4.4,4-5,True,covitests
,No Score,False,coyne medical
,No Score,False,coyne medical ltd
3.8,3-4,True,cq doctor
,No Score,False,crown laboratories ltd
,No Score,False,cryo express
,No Score,False,ct24 solutions ltd
1.7,1-2,True,ctm (nhs t&t)
,No Score,False,d&a screening ltd
4.7,4-5,True,dajani pharmacy
,No Score,False,dante labs
,No Score,False,daya pharmacy
2.2,2-3,True,dears pharmacy & travel clinic
4.6,4-5,True,dgc health ltd
4.3,4-5,True,digital health group ltd t/a pharma diagnostics
4.3,4-5,True,dna workplace
2.8,2-3,True,dochq.co.uk
4.4,4-5,True,doctap
1.7,1-2,True,doctap ltd
4.5,4-5,True,doctor driver assessment ltd
,No Score,False,doctorcall limited
,No Score,False,doctors clinic group
,No Score,False,doctors covid travel clinics
,No Score,False,dorset private gp
,No Score,False,dr mo private clinic
,No Score,False,dr mo private clinic norwich
,No Score,False,dr shilpa dave private gp teddington
,No Score,False,dr tim lebens
,No Score,False,dr wayne cottrell
,No Score,False,"dr wayne cottrell, private gp canary wharf"
,No Score,False,dr. shilpa dave private gp teddington
,No Score,False,dr. wayne cotrell & co.
,No Score,False,duality health
,No Score,False,east midlands laser and cosmetic clinic ltd
,No Score,False,easter pharmacy
,No Score,False,easy testing
,No Score,False,easy testing ltd
,No Score,False,edgbaston private medical practice
,No Score,False,edgcare private community family doctors
,No Score,False,effect doctors
,No Score,False,elements medical
,No Score,False,elite safety clinic
,No Score,False,em analytical ltd
,No Score,False,empire medicines ltd t/a empire pharmacy
2.1,2-3,True,enoura medical (af aesthetics)
2.1,2-3,True,epistem
2.1,2-3,True,est-health wellness clinic
,No Score,False,eurofins
2.0,1-2,True,eurofins forensic services
,No Score,False,eurofins forensic services ltd
2.0,1-2,True,everwell chinese medical centre ltd
,No Score,False,everything genetic
,No Score,False,everything genetic limited
,No Score,False,everything genetic ltd
3.1,3-4,True,everythinggeneticlimited
3.0,2-3,True,evolve medical
1.4,1-2,True,excalibur diagnostics ltd
3.1,3-4,True,expert covid testing uk
3.9,3-4,True,expert doctors
4.5,4-5,True,expert medicals
,No Score,False,expert tms limited
,No Score,False,express testing
,No Score,False,expresstest by cignpost diagnostics
4.0,3-4,True,fakir chemist
3.2,3-4,True,family medics
4.0,3-4,True,first medical consultants
,No Score,False,fit to fly uk
,No Score,False,fit2fly test ltd
4.7,4-5,True,fit2fly24/7 ltd
,No Score,False,fitnessgenes
,No Score,False,flow living medi-care services
3.8,3-4,True,flysurance
3.8,3-4,True,forensic genomics innovation hub ltd
4.7,4-5,True,fusion pharmacy
4.7,4-5,True,fusion radiology
3.2,3-4,True,fusion radiology ltd
2.9,2-3,True,future health technologies
4.0,3-4,True,future health technologies limited
,No Score,False,future healthcare ltd
,No Score,False,g16 covid testing
,No Score,False,genesis support (t/a fit to fly uk)
,No Score,False,ghosh medical group
,No Score,False,global covid19 testing
,No Score,False,global express travel health clinic
4.4,4-5,True,global express travel health clinic ltd
,No Score,False,global health travel clinic
,No Score,False,global health travel clinic - longcross surrey
3.2,3-4,True,good egg medical
3.2,3-4,True,good egg medical limited
,No Score,False,goodbody clinic
3.5,3-4,True,gpdq
4.3,4-5,True,gpdq ltd
3.7,3-4,True,guildhall pharmacy
,No Score,False,hale clinic harley street
4.4,4-5,True,halo verify
4.0,3-4,True,hampshire travel clinic
3.8,3-4,True,"hampstead heath pharmacy, travel health & vaccination clinic"
3.8,3-4,True,harley medic international
,No Score,False,harley street dr
3.8,3-4,True,harley street nurses
,No Score,False,harley street nurses ltd
,No Score,False,harleys pharmacy
4.4,4-5,True,harleystreet
,No Score,False,harper institute ltd
,No Score,False,harper medical ltd
,No Score,False,harveyrhys clinic
,No Score,False,hawkes health
,No Score,False,heald green pharmacy
,No Score,False,healthclic
,No Score,False,healthium clinics
,No Score,False,healthwork
,No Score,False,healthwork ltd
,No Score,False,healthyaa clinic
,No Score,False,heart lung centre
3.4,3-4,True,heathrow medical services
2.5,2-3,True,heathrow medical services llp
3.5,3-4,True,helix services limited also t/a travel test assured
,No Score,False,herts
3.4,3-4,True,hhh diagnostics
3.4,3-4,True,home2lab
,No Score,False,https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482
,No Score,False,i-gen testing
,No Score,False,i-gen testing limited
4.0,3-4,True,ihomecare
4.0,3-4,True,ingleton pharmacy
4.0,3-4,True,insta care solutions limited
,No Score,False,iq  doctor
,No Score,False,iq doctor
2.7,2-3,True,iqdoctor
2.7,2-3,True,isac labs ltd
2.7,2-3,True,jace medical
,No Score,False,jdoc medical limited
2.9,2-3,True,jdoc medical limited ( t/a jdoc365)
,No Score,False,jdoc medical limited (t/a jdoc365)
,No Score,False,jdoc medical linited (t/a jdoc365)
,No Score,False,john bell & croyden
,No Score,False,js biomedical ltd
2.9,2-3,True,just health
,No Score,False,katalyst laboratories
,No Score,False,kings medical centre
1.6,1-2,True,klarity
,No Score,False,klinical enterprises ltd t/a national covid testing
,No Score,False,knightsbridge pharmacy
3.1,3-4,True,kurix health
3.1,3-4,True,kyl healthcare services limited t/as the honeybee private nurse clinic
,No Score,False,la perla clinic
,No Score,False,labmedexpert
,No Score,False,labmedexpert limited
,No Score,False,laser and light
,No Score,False,leeds covid testing
,No Score,False,leeds covid testing ltd
2.7,2-3,True,leigh broadway pharmacy (elm road)
4.2,4-5,True,lifecrest ltd trading as (lifecrest medical laboratory)
,No Score,False,linbury doctors
4.1,4-5,True,live covid testing
4.7,4-5,True,local pcr
,No Score,False,locaton medical services ltd
4.4,4-5,True,london corona test centre
4.7,4-5,True,london covid testing
4.7,4-5,True,london elite health
,No Score,False,london medical concierge
,No Score,False,london medical laboratory
,No Score,False,london medical laboratory / private coronavirus tests
4.5,4-5,True,london nutrition doctor
,No Score,False,london screening centre
,No Score,False,london screening street
3.1,3-4,True,london vaccination clinic
,No Score,False,longridge travel health clinic
2.0,1-2,True,lord's pharmacy
,No Score,False,lyca health
,No Score,False,mare st clinic
3.7,3-4,True,masta
,No Score,False,masters (uk) limited t/a nechells pharmacy and masters pharmacy
3.7,3-4,True,masters pharmacy
3.4,3-4,True,mayfair doctors
3.4,3-4,True,mayfair pharmacy
,No Score,False,mayfield clinic
,No Score,False,mdna life sciences
,No Score,False,mdna life sciences (uk) ltd
,No Score,False,mdx healthcare ltd t/a medix
,No Score,False,me360 healthcare limited t/a me360 testing services
,No Score,False,me360 healthcare ltd t/a me360 testing services
,No Score,False,me360 testing services
,No Score,False,med24 limited
,No Score,False,medchecks
4.5,4-5,True,medi-park clinic
,No Score,False,medi-swift
,No Score,False,medic 1 direct
,No Score,False,medic testing
,No Score,False,medical
3.6,3-4,True,medical and rescue
,No Score,False,medical and rescue - london and lhr
,No Score,False,medical covid test
3.4,3-4,True,medical diagnosis
3.1,3-4,True,medical logistics
3.1,3-4,True,medical logistics / samedaycoronavirustests.com
4.1,4-5,True,medical testing
,No Score,False,medicines online
,No Score,False,medicines online ltd
,No Score,False,medicspot
4.6,4-5,True,medinow
,No Score,False,mediscan diagnostic services
3.2,3-4,True,medplus test
,No Score,False,medwyn occupational health
3.1,3-4,True,mhf medical concierge
,No Score,False,midland covid testing
,No Score,False,midland covid testing limited
4.0,3-4,True,midland health
4.0,3-4,True,midlands ultrasound and medical services
,No Score,False,mildcare ltd
2.5,2-3,True,minton treharne & davies laboratories
,No Score,False,minton treharne & davies laboratories limited
,No Score,False,mk18 private medical practice
,No Score,False,mlp
4.9,4-5,True,mobihealth international
4.9,4-5,True,moore medical practice
3.9,3-4,True,msh medical
3.9,3-4,True,msi clinics
,No Score,False,msi clinics limited
2.5,2-3,True,my express testing
,No Score,False,my express testing uk
4.3,4-5,True,my local travel clinic
4.1,4-5,True,my london pharmacy
,No Score,False,my private chemist
2.7,2-3,True,myhealthcare clinic
2.7,2-3,True,myhealthchecked
,No Score,False,national covid testing (klinical enterprises ltd)
,No Score,False,nationwide pathology
,No Score,False,nationwide pathology limited
3.4,3-4,True,nechells pharmacy and masters pharmacy
,No Score,False,new street pharmacy
,No Score,False,new street pharmacy t/a the travel vaccine room
,No Score,False,newcastle premier health
,No Score,False,nhl pharmacy
2.6,2-3,True,nivha laboratory services ltd
3.1,3-4,True,"nivha laboratory services ltd, randox"
3.1,3-4,True,nivha laboratory services ltd.
,No Score,False,nl clinic
,No Score,False,nomad
,No Score,False,nomad travel
,No Score,False,north and north west london covid tests
,No Score,False,north devon travel clinic
1.9,1-2,True,northend clinic
3.4,3-4,True,northway clinic
,No Score,False,nottinghamshire
,No Score,False,now test
,No Score,False,nph group
2.5,2-3,True,nutraceuticals laboratory london limited
,No Score,False,nx healthcare
3.6,3-4,True,objective health ltd
,No Score,False,occupational health bristol
,No Score,False,occupational health prime
,No Score,False,olive health & travel clinic
3.7,3-4,True,one scientic ltd
3.3,3-4,True,one scientific ltd
3.3,3-4,True,one scientific ltd.
,No Score,False,one5 health
,No Score,False,optimized body &  mind
4.2,4-5,True,optimized body & mind
,No Score,False,optipharm pharmacy
1.4,1-2,True,orchard clinic / orchard blood
1.4,1-2,True,oscartech uk
4.4,4-5,True,outcome diagnostics
4.6,4-5,True,outcome diagnostics (outcomedx)
,No Score,False,outcome diagnostics t/a 123 tests
,No Score,False,oxford covid tests
,No Score,False,pall mall medical (manchester) limited
,No Score,False,pcr labs
,No Score,False,pcrtravel ltd london
,No Score,False,pct healthcare
3.1,3-4,True,"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy"
3.1,3-4,True,pennfields pharmacy
,No Score,False,peplobio
,No Score,False,pexpo diagnostic
3.2,3-4,True,pexpo diagnostics
3.2,3-4,True,pharmacy led clinic
,No Score,False,pharmasuite
,No Score,False,pharmesthetics ltd
3.3,3-4,True,pharmesthetics ltd (t/a http://www.samedayclinic.co.uk)
3.2,3-4,True,physiofunction
,No Score,False,physiowork therapy uk ltd
,No Score,False,pillhub-feltham pharmacy
,No Score,False,polaris medical services ltd
,No Score,False,premier clinic ltd
3.3,3-4,True,private gp clinic
,No Score,False,private gp services uk ltd
,No Score,False,private gp teddington
4.0,3-4,True,private harley street clinic
1.8,1-2,True,private-testing-providers london cloudapps digital refresh
1.8,1-2,True,project olive lindfield limited
1.8,1-2,True,project screen by prenetics
,No Score,False,protein technologies ltd / rapiditydx
,No Score,False,protein technologies ltd t/a as rapiditydx
4.1,4-5,True,protein technologies t/a rapiditydx
,No Score,False,proviris solutions
,No Score,False,pt diagnostics
,No Score,False,pulmonics
,No Score,False,pulteney pharmacy
,No Score,False,pureflo health ltd
,No Score,False,pyramid pharmacy
,No Score,False,pyramid pharmacy bermondsey
,No Score,False,pyramid pharmacy woolwich
3.3,3-4,True,pyser testing
,No Score,False,queen anne street medical centre
,No Score,False,quest medical
3.9,3-4,True,quick clinics
4.2,4-5,True,quick meds
,No Score,False,quick meds using labmedexpert
,No Score,False,qured
3.4,3-4,True,rainbow labs
,No Score,False,ramss
3.4,3-4,True,ramss limited
3.3,3-4,True,randox health airport testing
3.3,3-4,True,randox health liverpoolone
,No Score,False,randox health london limited
,No Score,False,randox laboratories
,No Score,False,randox laboratories ltd
1.8,1-2,True,rapid covid testing
,No Score,False,rapid health test
3.2,3-4,True,rapid pcr
,No Score,False,rapiditydx
,No Score,False,rb health and safety solutions ltd
,No Score,False,rb healthcare ltd
,No Score,False,reading fit to fly
,No Score,False,reading fit to fly/oxford road clinics ltd
,No Score,False,recovery4life
,No Score,False,red 1 response
,No Score,False,remedi health
,No Score,False,remedys pharmacy
3.7,3-4,True,remedys pharmacy w9
,No Score,False,research consultancy and health ltd
,No Score,False,reviv uk
,No Score,False,rightangled
,No Score,False,rivahealth
,No Score,False,roc health services
1.9,1-2,True,roc private clinic
3.2,3-4,True,rosalyn’s medical and wellbeing clinic
,No Score,False,roshni clinic
3.3,3-4,True,rt diagnostics
3.3,3-4,True,same day clinic
,No Score,False,samedaydoctor
,No Score,False,samedaydoctor canary wharf
,No Score,False,samedaydoctor city clinic
4.1,4-5,True,samedaydoctor manchester
,No Score,False,saunders pharmacy
,No Score,False,scotnursing & medical services (snms)
,No Score,False,screen4
3.4,3-4,True,sevenoaks gp t/a the private gp clinic
4.0,3-4,True,shakib&neale limitd (107 harley street)
,No Score,False,shantys pharmacy
,No Score,False,sirkka networks limited
,No Score,False,site lt
3.7,3-4,True,skc occupational health
,No Score,False,skc occupational health oxford
,No Score,False,sloane square medical
3.5,3-4,True,sloane street testing
,No Score,False,solice health ltd
4.4,4-5,True,solihull health check clinic
4.4,4-5,True,somdoc ltd / home2lab
4.4,4-5,True,sorcha biotech
,No Score,False,source bioscience
3.8,3-4,True,south west london covid 19 testing centre
3.6,3-4,True,south west london covid-19 centre
,No Score,False,southdowns private healthcare
,No Score,False,sterling testing
,No Score,False,summerfield healthcare
,No Score,False,sussex healthcare solutions ltd
,No Score,False,synlab
3.2,3-4,True,t consultants
,No Score,False,t consultants ltd
,No Score,False,"t/a nash travel, tourism and transport services ltd"
,No Score,False,tac healthcare group
,No Score,False,tamsel (uk) ltd
4.5,4-5,True,test assurance group
4.3,4-5,True,test for now
1.9,1-2,True,test for now ltd
,No Score,False,test to you
,No Score,False,testing for all
,No Score,False,testngo
,No Score,False,the bridge clinic
3.2,3-4,True,the city & travel clinic
3.2,3-4,True,the clinic mk ltd
3.2,3-4,True,the express clinic
,No Score,False,the guildhall practice
,No Score,False,the health clinic by ar
,No Score,False,the health clinic by ar limited
,No Score,False,the health suite
,No Score,False,the hove practice
4.7,4-5,True,the london general practice
,No Score,False,the mayfair gp
4.7,4-5,True,the mayfair gp clinic
,No Score,False,the medic clinic
,No Score,False,the melton clinic
,No Score,False,the montague clinic
4.4,4-5,True,the new foscote hospital
,No Score,False,the palace gate practice limited
,No Score,False,the pharmacy at mayfair and clinic
3.8,3-4,True,the regenerative clinic
,No Score,False,the travel health clinic
3.2,3-4,True,the travel vaccine room
,No Score,False,the walcote practice
4.9,4-5,True,the wellness people ltd
,No Score,False,the whitehall clinic
,No Score,False,thechemistlive.co.uk
,No Score,False,top health clinic
,No Score,False,totley pharmacy ltd
,No Score,False,tower bridge wellness pharmacy
1.4,1-2,True,tp healthcare services
,No Score,False,tp healthcare services limited
,No Score,False,tp healthcare services ltd
,No Score,False,travel 19
,No Score,False,travel centre
,No Score,False,travel centre clapham
4.9,4-5,True,travel centre clapham ltd
,No Score,False,travel klinix
4.4,4-5,True,travel test centre ltd
,No Score,False,treated.com
,No Score,False,trio pharmacy
,No Score,False,tuli health
,No Score,False,uk covid test centre
2.9,2-3,True,uk event medics
,No Score,False,uk event medics limited
,No Score,False,uk event medics ltd
,No Score,False,uk health testing
,No Score,False,uk testing arrival centre
,No Score,False,ukcovidtest
,No Score,False,vaccination uk ltd
,No Score,False,vanite clinic
,No Score,False,visithealth limited
4.6,4-5,True,vista pharmacy
,No Score,False,vitacheck
,No Score,False,vitalclinic
,No Score,False,vitox
,No Score,False,vivo clinic
,No Score,False,vsm pharmacy
4.3,4-5,True,well pharmacy (bestway national chemists ltd)
,No Score,False,well pharmacy (bestway national chemists)
,No Score,False,west midlands
,No Score,False,weston road pharmacy
,No Score,False,westwood pharmacy
4.9,4-5,True,winchester gp
,No Score,False,woodsetton pharmacy
,No Score,False,world travel clinic
,No Score,False,worldwide travel health clinic
,No Score,False,wren healthcare
,No Score,False,"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd."
3.2,3-4,True,xana medtec
,No Score,False,xana medtec ltd
,No Score,False,yakub chemist
,No Score,False,your doctor film and media
,No Score,False,your gp circle
4.5,4-5,True,your health first
,No Score,False,your health first ltd
4.8,4-5,True,your private health
4.8,4-5,True,yourhealthfirst clinic
4.8,4-5,True,ypchealth
4.8,4-5,True,zava
