,company_link_0,company_link_1,company_link_2,company_link_3,company_name
35,,,,,01pcrtravel london
36,cheapest poor scammy missing missing work care manage cancelled precarious expensive,,,,01st class testing
37,  avoid  wrong,,,,04 medical testing
38, poor critical ridiculous missed missed terrible shame scam false match match lost trusted poor working recognise over priced use    poor   inefficient   limited use slimy poor shoddy poor,,,,044 covid test
39,         cheapest    faulty answers       ,,,,0ptimized body & mind
40,exist        simpler              appalling wasted         ,,,,1  harley medic international
41,  cheapest  shocking false breach use     earlier   use receive   appalling  harder    work rude             poor,,,,1  nomad
42,fit deserted rubbish      terrible scandalous return identify disgrace use ,,,,1 affordabletest.com
43,hesitate wrong ,,,,1 alpha express testing
44,use use messy stuck stuck impatient,,,,1 corporate covid tests
45,,        scam stay away horrible stay away,,,1 covclinics
46,exist        simpler              appalling wasted         ,,,,1 harley medic international
47,,,,,1 health hub
48,,,,,1 health hub ltd
49,,,,,1 nhl pharmacy
50,,,,,1 pcrtravel london
51,cheapest poor scammy missing missing work care manage cancelled precarious expensive,,,,1 st class testing
52,fake activated terrible unacceptable  disgraceful irrelevant useunsupported use show up overpriced show up slow failed answer positive  reasonable corrupt,fake activated terrible unacceptable  disgraceful irrelevant useunsupported use show up overpriced show up slow failed answer positive  reasonable corrupt,,,1 stop covid shop
53,,,,,10 harley linknurse clinic london
54,,,,,10 hs linknurse clinic london
55,rude rejecting inadequate  ,,,,100 covid clear
56,  shady         provide help fake came up came up avoid crumpled missed incorrect wasted  ,,,,101 covid travel clinic
57,  deliver unethical     recommend impossible    worst stupid recommend like        ,,,,101 expert doctors
58,,use deliver on time lack          scam   ,,,101 testing
59,worst poor trust  useless unprofessional avoid use appalling denied unreliableleast professional scam  scam wrong arrive waiting hard to fill match negative,,,,1010labs
60,,,,,107 harley street
61,,,,,118 testing
62,,,,,118testing
63,,,,,12-14 pharmacy
64,,,,,121 covicall
65,,,,,121 pure testing
66,,,,,123 clinics
67,avoid misleading,,,,123 covid labs
68,,,,,123clinics
69,stay away  avoid provide  work  fraudulentunattainable disgusting gone bust disgraceful lack incompetent poor  wasted ripped off incompetent scam,,,,123covidtests
70,,stay away  avoid provide  work  fraudulentunattainable disgusting gone bust disgraceful lack incompetent poor  wasted ripped off incompetent scam,,,123tests.co.uk
71, ,,,,15 minute covid test
72,fit deserted rubbish      terrible scandalous return identify disgrace use ,,,,1affordabletest
73,fit deserted rubbish      terrible scandalous return identify disgrace use ,,,,1affordabletest.com
74,use use messy stuck stuck impatient,,,,1corporate covid tests
75,,worst late privatised gross awful delay minimal   doing the job terrible awful poor grumpy  unfriendly bad respect lack poor recommend avoidedfake     incompetent terrible use scam   ,,,1rapid clinics
76,cheapest poor scammy missing missing work care manage cancelled precarious expensive,,,,1st class testing
77,cheapest poor scammy missing missing work care manage cancelled precarious expensive,,,,1st class testing ltd
78,,,,,1west end medical practice uk
79,,,,,1west end medical practice uk ltd
80,,,,,1westendmedicalpracticeuk
81,  ,,,,20/30 labs
82, cheap  crashed   submit nightmare fake  disconcerting  stressful commend  terrible arrived   ,,,,247 travel tests
83,expensive   delayed   wrong worst scammers scammers    disgrace     bad    useless annoyed problems problems,,,,247hometesting
84,expensive   delayed   wrong worst scammers scammers    disgrace     bad    useless annoyed problems problems,,,,247hometesting.com
85,,,,,258 postal racoo screening ltd
86,,,,,29 fleet street ltd
87,,,,,29 fleet street ltd t/a fleet street clinic
88,,,,,3a covid testing limited
89,             ,,,,3six health
90,  avoid  wrong,,,,4 medical testing
91,recommend horrific failed express lost delayed   shortened    terrible invalid disappointed  poor avoided  use available      ,,,,@01a my express testing
92,,,,,@corona tests
93,,,,,@covid19 health clinics limited
94,lack appalling           ,,,,@harley street nurses (t/a harley street nurses ltd)
95,low poor                premium                confusing stupid           ,,,,a hasu diagnostics
96,,,,,a1 covid testing
97,,,,,a1 global testing limited
98,,,,,a1 track&travel
99,,,,,abbeycovidscreening
100,,,,,abg covic ltd
101,negative support worried poor defiantly based reliable incomplete useless wrong frustrating   failed,,,,abicare health
102,negative support worried poor defiantly based reliable incomplete useless wrong frustrating   failed,,,,abicare health solutions
103,negative support worried poor defiantly based reliable incomplete useless wrong frustrating   failed,,,,abicare health solutions ltd (riva health)
104,   touch frustrated avoid        terribledisorganised poor received work received use use  rude bad,,,,accendolab limited
105,,,,,ace-thetix
106,,,,,acethetix
107,,,,,acethetix testing services
108,,,,,acorn occupational health ltd
109,,,,,advisa  medica
110,,,,,advisa medica
111,,use   use awful waste ,,,aeromedical consulting uk
112,,,,,aesthetika clinic
113,,,,,af aesthetics (enoura medical)
114,,,,,affinity health
115,,,,,afforable tfnow
116,,,,,agg coventry ltd ta vantage chemist
117,,,,,agilis health
118,,,,,ais covid testing ltd
119,,,,,al-shadhilli ltd
120,                                   ,,,,alexandru livinschi (t/a bai long ltd)
121,                                   ,,,,alexandru livinschi (t/a gat c-19)
122,                            ,,,,all healthcare
123,         bad   lost           shocking ,,,,alphabiolabs
124,,,,,alphamedicol ltd
125,,,,,alphamedicol ltd.
126,,,,,ambulance services 24 ltd
127,,,,,ambutech pre-hospital care
128,,,,,amin pharmacy
129,,,,,an sf screening and vaccination service
130,,,,,andres pharmacy
131,,,,,anglia dna services
132,,,,,anglo belgravia
133,                ,,,,apollo testing
134,         ,,,,arrival diagnostics
135,,,,,arrival test centre
136,,scam,,,arriving uk
137,scam,,,,arrivinguk
138,,,,,ask chemist
139,   unfair                 ,,,,assured screening
140,,,,,assured screening.com
141,   unfair                 ,,,,assuredscreening.com
142,,,,,atlas medical services ltd
143,,,,,atropa blood clinic
144,,,,,atruchecks
145,,,,,audley pharmacy
146,                         ,,,,avante health ltd
147,                         ,,,,avante health private gp
148,,,,,avery labs
149,,,,,avicenna health
150,,,,,bansals pharmacy
151,,,,,bansals pharmacy (southend on sea)
152,,,,,"bansals pharmacy (southend on sea),"
153,,,,,barkerhouse pharmacy
154,,,,,baseline medicine
155,      terrible    awful awful  gripe ,,,,bestway national chemists t/a well pharmacy ltd
156,       confusing rushed  cheap   trust cost fraudulent   terrible easy ,,,,better2know
157,worst poor responded received trust cancelled        bad  poor ,,,,biograd diagnostic laboratories
158,appalling late  use pity missed   terrible missed well equipped suffering offer wrong delay poor useterrible mixed    irrelevant negative bad  guarantee,,,,biograd diagnostics
159,   appaling confusing poor arrived                     ,,,,biogroup laboratory
160,,,,,biolab london ltd
161,,,,,biotherapy services
162,,,,,black and banton
163,    negative                            ,,,,blackburn travel clinic
164,  never received fraud               missing work   helpful  refuses terrible awful working  respond cancelled  ,  never received fraud               missing work   helpful  refuses terrible awful working  respond cancelled  ,,,blindspot global
165,  never received fraud               missing work   helpful  refuses terrible awful working  respond cancelled  ,,,,blindspot global ltd
166,buy     collected usescam lost avoid scam scam lousy poor  missing missing ,buy     collected usescam lost avoid scam scam lousy poor  missing missing ,,,blue horizon medicals
167,,,,,book a travel test
168,                    bad angry  complaints      ,,,,boots uk
169,,,,,bristol travel clinic
170,use disgraceful useless appalling   fail inaccurate wrong poorly complaintsterrible poor offer poor  recommend bad forced scam scam respond shameful late helpful misleading added,use disgraceful useless appalling   fail inaccurate wrong poorly complaintsterrible poor offer poor  recommend bad forced scam scam respond shameful late helpful misleading added,,,brunswick hygiene
171,use disgraceful useless appalling   fail inaccurate wrong poorly complaintsterrible poor offer poor  recommend bad forced scam scam respond shameful late helpful misleading added,use disgraceful useless appalling   fail inaccurate wrong poorly complaintsterrible poor offer poor  recommend bad forced scam scam respond shameful late helpful misleading added,,,brunswick hygiene ltd
172,           poor ridiculous    easy  irrelevant   broken  delayed,,,,bupa occupational health ltd
173,           poor ridiculous    easy  irrelevant   broken  delayed,,,,bupa occupational health ltd.
174,,,,,c & h esher limited (t/a central pharmacy)
175,,,,,c & h esher ltd
176,,,,,"c & h esher ltd t/a central pharmacy, esher"
177,,,,,c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus
178,,,,,"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus"
179,                ,,,,c19 testing
180,,,,,calder pharmacy & medspa clinic
181,,,,,calder pharmacy & medspa clinic notting hill
182,,,,,calder pharmacy & medspa clinic of notting hill
183,,,,,caliber medical services
184,,,,,candarin medical
185,,,,,caxton pharmacy
186,,,,,centennial medical care
187,,,,,chase lodge hospital
188, arrived     awful         sketchy      ,,,,chb medical
189, arrived     awful         sketchy      ,,,,chb medical ltd
190, mucous delaying rude horrible blaming    ,   issue  wrong ridiculous zero   missing                worried show up deficiency    worst blown away ,,,check my body health
191,,,,,chelsea medical
192,,,,,chelsea pharmacy medical clinic
193,,,,,"cheltenham, west midlands & worcester travel clinics"
194,,,,,"cheltenham, worcester & west midlands travel clinics"
195,,,,,"cheltenham, worcester and west midlands travel clinics"
196,,failed unfortunate   bad unfortunate        bent      poor      joke cancelled  pick up cancelled recommended  avoid cancel disgraceful disgraceful,,,chhp and ceritific
197,   recommend      stressed    confusing ,,,,chronomics
198,,           failed    wrong   chunky              ,,,cht
199,,,,,church pharmacy
200,,,,,church pharmacy weybridge
201,,,,,churchill's pharmacy
202,   complained            ,,,,cignpost diagnostics
203,waiting hard to fill match negative ,,,,circular 1 health ltd
204,complicated   appalling  appalling responsiveness constant showed    poor  ,,,,citydoc medical
205,complicated   appalling  appalling responsiveness constant showed    poor  ,,,,citydoc medical limited
206,  shady         provide help fake came up came up avoid crumpled missed incorrect wasted  ,,,,ck doctors covid travel clinics
207,       disappointed                ,,,,claret diagnostics ltd
208,,,,,clear diagnostics
209,,,,,clear diagnostics ltd
210,,,,,clinicare uk
211,       recommend recommend recommend              postponed postponed      hesitate hesitate                ,,,,clnq
212,rude missing missing missing   shocked regret,,,,coker chest clinic
213,,,,,collingwood health
214,awful awful poorly packaged absurd rude worst use bad too early     unable disappointed incompetence       complained   disgraceful worst    ,,,,collinson
215,lack exorbitant ridiculous,,,,complete covid tests
216,                     ,,,,concepto clinic
217,,,,,concierge medical
218,,,,,concierge medical practice
219,rejected terrible misleading awful   slow  bad       ,,,,confirm testing
220,rejected terrible misleading awful   slow  bad       ,,,,confirm testing limited
221, ,,,,consultant clinic
222,     disgusting,,,,coop pharmacy
223,horrible missed use false use failed   limited     useless    ,,,,corona test centre
224,,,,,corona testing
225,,,,,corona-testing
226,sneaky sneaky terrible rude scam guarantee provide loophole poor appalling slow failed poor waste of waste ofuse joke unsatisfactory impossible  appalling unprofessional  use missed,,,,coronafocus by oncologica uk
227,sneaky sneaky terrible rude scam guarantee provide loophole poor appalling slow failed poor waste of waste ofuse joke unsatisfactory impossible  appalling unprofessional  use missed,,,,coronafocus by oncologica uk ltd (t/a oncologica uk ltd)
228,use use messy stuck stuck impatient,,,,corporate covid tests
229,,,,,cosmebeaute
230,,,,,courtfield private practice
231,poor poor  shoddy horrible  horrendous    reflect well joke answer working blatent answer late avoidterrible unreliable awful answer use    ,,,,cov19 care
232,,poor poor  shoddy horrible  horrendous    reflect well joke answer working blatent answer late avoidterrible unreliable awful answer use    ,,,cov19care ltd
233,bad produce produce,,,,covguard
234,bad produce produce,,,,covguard premium
235,,,,,covid 19 private test ltd
236,,,,,covid clear clinic
237,,,,,"covid fit to fly tes t/a nash travel, tourism and transport services ltd."
238,,,,,covid mobile health services/remote trauma ld
239, bad      , bad      ,,,covid smart limited
240,bad horrendous horrendous abysmal process process ignored ignored ignored overpriced avoid exist use conducted worse horrible use use use never shady sketchy poorly pointlesswrong,,,,covid test
241,,,,,covid test centre
242,,,,,covid test hub
243,,,,,covid test pick and drop
244,,,,,covid test today
245,,,,,covid testing laboraratories
246,,,,,covid testing laboratories
247,,,,,covid testing laboratories ltd
248,  shady         provide help fake came up came up avoid crumpled missed incorrect wasted  ,,,,covid travel clinics
249,poor,poor,,,covid-19 travel clinic
250,,,,,covid19 checking
251,,,,,covid19 health clinics limited
252,      lie      downside   work      distressing  ,,,,covidfly
253,,,,,covido
254,,,,,covitests
255,,,,,coyne medical
256,,,,,coyne medical ltd
257,   terrible                      ,   terrible                      ,,,cq doctor
258,,,,,crown laboratories ltd
259,,,,,cryo express
260,       minefield recommend                   dismal  ,,,,ct24 solutions ltd
261,,,,,ctm (nhs t&t)
262,,,,,d&a screening ltd
263,,,,,dajani pharmacy
264,unacceptable  providing providing   use fraudulent  complaint contain horribleavoid high  terrible wrong  scam respond horrible,unacceptable  providing providing   use fraudulent  complaint contain horribleavoid high  terrible wrong  scam respond horrible,,,dante labs
265,,,,,daya pharmacy
266,     dead       bad lost fuming difficult                       ,,,,dears pharmacy & travel clinic
267,,,,,dgc health ltd
268,,,,,digital health group ltd t/a pharma diagnostics
269, poor    blamed              negative      poor praise ,,,,dna workplace
270,,            good too busy     struggle,,,dochq.co.uk
271,          insensitive appreciate        wrong                ,,,,doctap
272,          insensitive appreciate        wrong                ,,,,doctap ltd
273,help   unprofessional awful ignored joke help stay away   appalling   ,,,,doctor driver assessment ltd
274, problems  misled                 awful      ,,,,doctorcall limited
275,incompetent worst terrible      scam runny covid bad dishonestanswer use  sceptical  never  annoyed   disgusting  awful buzzing terrible dreadful unacceptable effective good,,,,doctors clinic group
276,  shady         provide help fake came up came up avoid crumpled missed incorrect wasted  ,,,,doctors covid travel clinics
277,,,,,dorset private gp
278,,,,,dr mo private clinic
279,,,,,dr mo private clinic norwich
280,,,,,dr shilpa dave private gp teddington
281,,,,,dr tim lebens
282,,,,,dr wayne cottrell
283,,,,,"dr wayne cottrell, private gp canary wharf"
284,,,,,dr. shilpa dave private gp teddington
285,,,,,dr. wayne cotrell & co.
286,,,,,duality health
287,,,,,east midlands laser and cosmetic clinic ltd
288,,,,,easter pharmacy
289,,,,,easy testing
290,,,,,easy testing ltd
291,,,,,edgbaston private medical practice
292,,,,,edgcare private community family doctors
293,,,,,effect doctors
294,,,,,elements medical
295,,,,,elite safety clinic
296,,,,,empire medicines ltd t/a empire pharmacy
297,,,,,enoura medical (af aesthetics)
298,,,,,epistem
299,,,,,est-health wellness clinic
300, late help poor unclear worse stay away    incompetent        cancelled non existant  consider late late mistake response joke  stupid  ,,,,eurofins
301, late help poor unclear worse stay away    incompetent        cancelled non existant  consider late late mistake response joke  stupid  ,,,,eurofins forensic services
302, late help poor unclear worse stay away    incompetent        cancelled non existant  consider late late mistake response joke  stupid  ,,,,eurofins forensic services ltd
303,,,,,everwell chinese medical centre ltd
304,wrong zero   dissatisfied poor   ridiculous use screwed up28 wrong wrong questionable buy scam waste took ages work dreadful deliver wrong misleading misleading  use,,,,everything genetic
305,,,,,everything genetic limited
306,wrong zero   dissatisfied poor   ridiculous use screwed up28 wrong wrong questionable buy scam waste took ages work dreadful deliver wrong misleading misleading  use,,,,everything genetic ltd
307,,,,,everythinggeneticlimited
308,,,,,evolve medical
309,,,,,excalibur diagnostics ltd
310,use appalling  waiting waiting   bad registered    thank             use   ,,,,expert covid testing uk
311,  deliver unethical     recommend impossible    worst stupid recommend like        ,,,,expert doctors
312,unacceptable scam  terrible  worst badworst cheap work serious use cheapers missing worst,,,,expert medicals
313,use appalling  waiting waiting   bad registered    thank             use   ,,,,expert tms limited
314,recommend horrific failed express lost delayed   shortened    terrible invalid disappointed  poor avoided  use available      ,,,,express testing
315,   complained            ,,,,expresstest by cignpost diagnostics
316,,,,,fakir chemist
317,,,,,family medics
318,,,,,first medical consultants
319,answered               dissapointed poor stressful  exactly as advertised       ,answered               dissapointed poor stressful  exactly as advertised       ,,,fit to fly uk
320,,,,,fit2fly test ltd
321,missed missed use use complaints complaints    recommend      uncertainty     recommend                   ,,,,fit2fly24/7 ltd
322,,,,,fitnessgenes
323,,,,,flow living medi-care services
324,  sham            unprofessional    ,,,,flysurance
325,,,,,forensic genomics innovation hub ltd
326,,,,,fusion pharmacy
327,,,,,fusion radiology
328,,,,,fusion radiology ltd
329,     use adequate                       late        ,,,,future health technologies
330,     use adequate                       late        ,,,,future health technologies limited
331,appalling,,,,future healthcare ltd
332,poor awful   use  ,,,,g16 covid testing
333,answered               dissapointed poor stressful  exactly as advertised       ,,,,genesis support (t/a fit to fly uk)
334,,,,,ghosh medical group
335,,,,,global covid19 testing
336,,,,,global express travel health clinic
337,,,,,global express travel health clinic ltd
338,,,,,global health travel clinic
339,,,,,global health travel clinic - longcross surrey
340,  recommended                   hesitate           ,,,,good egg medical
341,,,,,good egg medical limited
342,,,,,goodbody clinic
343,terrible,,,,gpdq
344,terrible,,,,gpdq ltd
345,,,,,guildhall pharmacy
346,terrible trust                 thank      missed worst processed  hell,,,,hale clinic harley street
347,      long time     nasal        use mad delays    good confusing confusing clear  ,,,,halo verify
348, ,,,,hampshire travel clinic
349,,,,,"hampstead heath pharmacy, travel health & vaccination clinic"
350,exist        simpler              appalling wasted         ,exist        simpler              appalling wasted         ,,,harley medic international
351,   ,,,,harley street dr
352,lack appalling           ,,,,harley street nurses
353,lack appalling           ,,,,harley street nurses ltd
354,        poor  complaints rubbish dismissive busy busy  friendlinesspoor bad  ,,,,harleys pharmacy
355,abysmal false match match match rings off                inferior          ,,,,harleystreet
356,,,,,harper institute ltd
357,,,,,harper medical ltd
358,             ,,,,harveyrhys clinic
359,,,,,hawkes health
360,,,,,heald green pharmacy
361,,,,,healthclic
362,,,,,healthium clinics
363,,,,,healthwork
364,,,,,healthwork ltd
365,,,,,healthyaa clinic
366,,,,,heart lung centre
367,,,,,heathrow medical services
368,,,,,heathrow medical services llp
369,,,,,helix services limited also t/a travel test assured
370,back  lost lost bad ,,,,herts
371,horrible  delayed misleading understand,,,,hhh diagnostics
372,disappointing terrible terrible disappointed  strange awful strange cancelledshocking     poor    ,,,,home2lab
373,,,,,https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482
374, released responsive  good hard available  lack    difficult  competitively priced stressful   full  poor       trust trust trust,,,,i-gen testing
375, released responsive  good hard available  lack    difficult  competitively priced stressful   full  poor       trust trust trust,,,,i-gen testing limited
376,,,,,ihomecare
377,,,,,ingleton pharmacy
378,,,,,insta care solutions limited
379,        able junior extortionate    concerned         exists         ,,,,iq  doctor
380,        able junior extortionate    concerned         exists         ,,,,iq doctor
381,        able junior extortionate    concerned         exists         ,,,,iqdoctor
382,,,,,isac labs ltd
383,,,,,jace medical
384,misleading abrupt abrupt abrupt rude        ,,,,jdoc medical limited
385,misleading abrupt abrupt abrupt rude        ,,,,jdoc medical limited ( t/a jdoc365)
386,misleading abrupt abrupt abrupt rude        ,,,,jdoc medical limited (t/a jdoc365)
387,,,,,jdoc medical linited (t/a jdoc365)
388,horrible poor faulty fit properly horrible wasted  issue   bad  take forever   praise   wrong    worst doctap doctap recommend,,,,john bell & croyden
389,,,,,js biomedical ltd
390,,,,,just health
391,,,,,katalyst laboratories
392,,,,,kings medical centre
393, down        down  available crashing  poor  wrong blocked poor shame awful slow        impossible     avoid awful incorrect,,,,klarity
394,,,,,klinical enterprises ltd t/a national covid testing
395,,,,,knightsbridge pharmacy
396,unnecessary mess unreliable  bad use buy fraud stay away disasteravoid issue avoid terrible return nonexistent use  use joke never received replied,,,,kurix health
397,,,,,kyl healthcare services limited t/as the honeybee private nurse clinic
398,,,,,la perla clinic
399,  wrong incorrect       connect connect     cancelled  useless       better,,,,labmedexpert
400,  wrong incorrect       connect connect     cancelled  useless       better,,,,labmedexpert limited
401,,,,,laser and light
402,,,,,leeds covid testing
403,,,,,leeds covid testing ltd
404,,,,,leigh broadway pharmacy (elm road)
405,,,,,lifecrest ltd trading as (lifecrest medical laboratory)
406,,,,,linbury doctors
407,avoid   fake incomplete incomplete             concerned   missing   avoid work         delayed  ,,,,live covid testing
408,,  inexperienced  use use rude rude awful   nervous      poor poor no avoiding     ,,,local pcr
409,,,,,locaton medical services ltd
410,  bad       issue  less crap slow pricy                ,,,,london corona test centre
411,                            ,,,,london covid testing
412,,,,,london elite health
413,                ,,,,london medical concierge
414,       over-priced easy      ,,,,london medical laboratory
415,       over-priced easy      ,,,,london medical laboratory / private coronavirus tests
416,,,,,london nutrition doctor
417,,,,,london screening centre
418,,,,,london screening street
419,, great great        appalling cancelled cancelled cancelled   recommend      recommend          ,,,london vaccination clinic
420,,,,,longridge travel health clinic
421,,,,,lord's pharmacy
422,1 star terrible dreadful wrong pointless furnished  joke          disappointed         ,,,,lyca health
423,,,,,mare st clinic
424,identify horrible  closed avoid running contemptuous ignore proper poorly served    miss  fit    hard,,,,masta
425,,,,,masters (uk) limited t/a nechells pharmacy and masters pharmacy
426,,,,,masters pharmacy
427,,,,,mayfair doctors
428,,,,,mayfair pharmacy
429,      competitive      dreadful minuscule coughing   use premium  poor terrible   joke avoid avoid worst shambolic           rip-off    ,,,,mayfield clinic
430,back  lost lost bad ,,,,mdna life sciences
431,back  lost lost bad ,,,,mdna life sciences (uk) ltd
432,,,,,mdx healthcare ltd t/a medix
433,,,,,me360 healthcare limited t/a me360 testing services
434,,,,,me360 healthcare ltd t/a me360 testing services
435,,,,,me360 testing services
436,,,,,med24 limited
437,,,,,medchecks
438,,,,,medi-park clinic
439,,,,,medi-swift
440,,,,,medic 1 direct
441,         negative            ,,,,medic testing
442,,,,,medical
443,,,,,medical and rescue
444,,,,,medical and rescue - london and lhr
445,,,,,medical covid test
446,   chaotic rude unhelpful expensive poor,,,,medical diagnosis
447,,,,,medical logistics
448,,,,,medical logistics / samedaycoronavirustests.com
449,  avoid  wrong,,,,medical testing
450,horrible  disappointed   wrong           ,,,,medicines online
451,horrible  disappointed   wrong           ,,,,medicines online ltd
452,      useless       use        froze  ,,,,medicspot
453,,,,,medinow
454,,,,,mediscan diagnostic services
455,,,,,medplus test
456,                    problems problems   ,,,,medwyn occupational health
457,,,,,mhf medical concierge
458,awful come back results worst,,,,midland covid testing
459,,,,,midland covid testing limited
460,hurt fake stay away abuse traumatising inhumane fraud  fake problems  scams bent atrocious chased chased   bad    ,,,,midland health
461,,,,,midlands ultrasound and medical services
462,,,,,mildcare ltd
463,   waste of       anxious         ,,,,minton treharne & davies laboratories
464,   waste of       anxious         ,,,,minton treharne & davies laboratories limited
465,,,,,mk18 private medical practice
466,awful buy impossible,,,,mlp
467,,,,,mobihealth international
468,,,,,moore medical practice
469,,,,,msh medical
470,     messed up                       ,,,,msi clinics
471,     messed up                       ,,,,msi clinics limited
472,recommend horrific failed express lost delayed   shortened    terrible invalid disappointed  poor avoided  use available      ,,,,my express testing
473,recommend horrific failed express lost delayed   shortened    terrible invalid disappointed  poor avoided  use available      ,,,,my express testing uk
474,,,,,my local travel clinic
475,awful buy impossible,,,,my london pharmacy
476,,,,,my private chemist
477,    fell off unfriendly fall out         rude   abrupt            bad bad worse   ,,,,myhealthcare clinic
478,slow   disgusting hopeless useless useless        late frustrating negative recommend missed full service delayed delayed appalling recommend ,,,,myhealthchecked
479,,,,,national covid testing (klinical enterprises ltd)
480,terrible refusing proper  user friendly   use argumentative  caring attracted attracted rude cheapest,,,,nationwide pathology
481,terrible refusing proper  user friendly   use argumentative  caring attracted attracted rude cheapest,,,,nationwide pathology limited
482,,,,,nechells pharmacy and masters pharmacy
483,,,,,new street pharmacy
484,,,,,new street pharmacy t/a the travel vaccine room
485,back  lost lost bad ,,,,newcastle premier health
486,,,,,nhl pharmacy
487,,,,,nivha laboratory services ltd
488,,,,,"nivha laboratory services ltd, randox"
489,,,,,nivha laboratory services ltd.
490,bad        nonexistent terrible horrible outrageous            thank       stuck scam ,,,,nl clinic
491,  cheapest  shocking false breach use     earlier   use receive   appalling  harder    work rude             poor,,,,nomad
492,  cheapest  shocking false breach use     earlier   use receive   appalling  harder    work rude             poor,,,,nomad travel
493,,,,,north and north west london covid tests
494,,,,,north devon travel clinic
495,,,,,northend clinic
496,,,,,northway clinic
497,,,,,nottinghamshire
498,forced upsetting disgraceful avoid wrong well run            shameless incompetent abysmal repetition dithered sorry   disgrace pointless work fails inadequate  nonsense nonsense   guaranteeing unfit avoided inadequate misleading awful wrong trust  refused guarantee  failed incorrect poor ,,,,now test
499,back  lost lost bad ,,,,nph group
500,,,,,nutraceuticals laboratory london limited
501,,,,,nx healthcare
502,,,,,objective health ltd
503,,horrible  delayed misleading understand,,,occupational health bristol
504,,,,,occupational health prime
505,,  ringing surprise count,,,olive health & travel clinic
506,,,,,one scientic ltd
507,,,,,one scientific ltd
508,,,,,one scientific ltd.
509, ,,,,one5 health
510,         cheapest    faulty answers       ,,,,optimized body &  mind
511,         cheapest    faulty answers       ,,,,optimized body & mind
512,,,,,optipharm pharmacy
513,,,,,orchard clinic / orchard blood
514,                   ,,,,oscartech uk
515,,,,,outcome diagnostics
516,,stay away  avoid provide  work  fraudulentunattainable disgusting gone bust disgraceful lack incompetent poor  wasted ripped off incompetent scam,,,outcome diagnostics (outcomedx)
517,stay away  avoid provide  work  fraudulentunattainable disgusting gone bust disgraceful lack incompetent poor  wasted ripped off incompetent scam,,,,outcome diagnostics t/a 123 tests
518,                  ,,,,oxford covid tests
519,recommend                                           ,,,,pall mall medical (manchester) limited
520,,,,,pcr labs
521,,,,,pcrtravel ltd london
522,,,,,pct healthcare
523,,,,,"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy"
524,,,,,pennfields pharmacy
525,,,,,peplobio
526,awful terrible ,,,,pexpo diagnostic
